node,delta_lambda,delta_mu,delta_rho,delta_L,delta_Lq,delta_W,delta_Wq,name,type
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAS 1 (1)*,M/M/s/K
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAS 2 (1)*+,M/M/s/K
3,0.00507513185391582,0.0,0.005075131853915739,0.006756505534914553,0.011865062564445724,0.0016729163653394596,0.006755677877240615,TAS 3 (1)*+,M/M/s/K
4,-0.393939393939394,0.0,-0.3939393939393939,-0.5807242706260531,-0.7438256984505057,-0.30885005791761405,-0.5777126094484338,MAS 1,M/M/s/K
5,0.2121212121212121,0.0,0.212121212121212,0.26850010126229673,0.537569740785942,0.046512700263700274,0.2684951776294197,MAS 2,M/M/s/K
6,0.08036890645586303,4.866666666666666,-0.8158462091268416,-0.9291212281657079,-0.9864156550712596,-0.934925011870402,-0.9875279852894058,MAS 3->4,M/M/s/K
7,0.2182728870956555,0.0,0.2182728870956555,0.24576459288292787,0.5176812001892661,0.022566131422362495,0.24576457099212998,AS 1,M/M/s/K
8,0.2182728870956555,0.0,0.21827288709565562,0.2652345164582584,0.5413994477147,0.0385477316629053,0.2652333454288668,AS 2,M/M/s/K
9,-0.44500901810086796,-0.8670886075949367,3.175646435241088,3.893463521665667,19.433340056975734,7.817194985785782,35.817428534114555,AS 3->4,M/M/s/K
10,0.010101010101010234,0.0,0.01010101010101018,0.015993953579598492,0.02621667998605833,0.00583674128108309,0.015957267864390147,TAS 4 (1)*,M/M/s/K
11,-0.030711151923272985,-0.5454545454545454,1.1324354657687998,3.258620164959765,7.738905622131648,3.427666124681235,8.08579654702881,DS 3->1,M/M/s/K
12,0.015227405913046272,0.0,0.015227405913046242,0.0202722348845302,0.03580579674417464,0.00496925517570453,0.020269830412939498,TAS 5 (1)*,M/M/s/K
13,0.010101010101010464,0.0,0.010101010101010527,0.013359909806185129,0.02359442512501871,0.003226363222952358,0.013358533918975624,TAS 6 (1)*,M/M/s/K
