node,lambda,lambda_std,mu,mu_std,rho,rho_std,L,L_std,Lq,Lq_std,W,W_std,Wq,Wq_std,Jobs_Served,Jobs_Served_std,Jobs_Blocked,Jobs_Blocked_std,Blocking_Prob,Blocking_Prob_std
0,344.7144444444445,0.8420103808632513,900.6614084084196,1.988976957479318,0.3827350013893538,0.0006459408251944208,0.6213060417873356,0.0020593742398692153,0.23856993152523046,0.001431887702444303,0.0018023848071725705,4.640958342503278e-06,0.0006920811309298411,3.2036521268659367e-06,310243.0,757.8093427769282,11.333333333333334,5.8594652770823155,3.650958922621263e-05,1.882418417329367e-05
1,258.8507407407407,0.85570874049505,699.8730302824946,1.9392102542401624,0.369854943228972,0.001285670195919672,0.5862743611443526,0.0023851770696544576,0.2164200847275708,0.0012066334172032302,0.0022649049025598098,4.86035560480531e-06,0.0008360755490410387,2.0962745752949648e-06,232965.66666666666,770.1378664455651,8.333333333333334,2.0816659994661326,3.5786228900358445e-05,9.030625808784578e-06
2,172.72333333333333,0.46635439287422625,700.9825623286739,3.1475034020847086,0.2464034199438443,0.0006701332853276582,0.32682775919767404,0.002136742927083097,0.08042500590797101,0.0015249981802234983,0.0018922288965349324,1.353544871859407e-05,0.0004656304567701753,8.756892495966585e-06,155451.0,419.71895358680194,0.0,0.0,0.0,0.0
3,97.13296296296296,0.6174742792997111,180.02197495374153,0.2044021935085918,0.5395625383506987,0.0035723285403352046,1.162562018559581,0.023297874335818727,0.6229994802088822,0.020152464317904406,0.011968270406559905,0.00018306830425272118,0.006413388236008135,0.00017773720966355087,87419.66666666667,555.7268513697493,70.33333333333333,4.041451884327382,0.0008041139724753774,5.115578497607927e-05
4,91.96999999999998,0.2134924175367341,530.7907020075876,1.2225181491358363,0.17327027877274345,0.0005002614414025492,0.20987550281569367,0.0008843106460224634,0.03660460111390766,0.00043022449403094733,0.002282000071693134,9.053222332422412e-06,0.0003980053565149171,4.720257214327496e-06,82773.0,192.1431757830603,0.0,0.0,0.0,0.0
5,103.22555555555556,0.22936573845128486,150.19216723831588,0.3842414147222713,0.6872933075058759,0.002516261189921574,2.060501012128144,0.029056440441752526,1.373207171295788,0.02663616592797376,0.019960562143440802,0.00024347184001610346,0.013302442103071216,0.00023222014530233242,92903.0,206.42916460616703,573.6666666666666,17.156145643277025,0.00613700304263173,0.0001827606185295823
6,63.913333333333334,0.29171481084133766,700.5976091413789,1.9473637997822884,0.09122805424137707,0.0006564927380684087,0.10047702579303508,0.001022489117783668,0.009249018893279429,0.0004489786856077569,0.0015720586909707772,8.989673584069513e-06,0.00014469658276423987,6.519945614654506e-06,57522.0,262.5433297572041,0.0,0.0,0.0,0.0
7,59.46074074074074,0.34934918916046914,408.1561544391773,1.2192828974932244,0.14568244448928522,0.0010113783062380957,0.17022926331643526,0.0016226192003907006,0.024547492786979135,0.0006280879818365415,0.0028628663042810916,1.5608316360302437e-05,0.0004128165369272493,8.87054007735458e-06,53514.666666666664,314.4142702444226,0.0,0.0,0.0,0.0
8,69.45074074074074,0.18567971007224413,1575.3137569325745,5.487313725199091,0.0440870548047985,8.58521013598282e-05,0.046113535462391185,0.00015216949100441861,0.00202648065759576,9.277439157094653e-05,0.0006639761387208835,2.1231767907509e-06,2.9176829818528883e-05,1.2717856146658894e-06,62505.666666666664,167.11173906501367,0.0,0.0,0.0,0.0
9,255.5551851851852,0.8222870344825772,701.0799125716048,0.3672595944824992,0.3645167835369542,0.0012904512090506483,0.5750092508586259,0.002414443643064433,0.21049245339652325,0.0011904155254034066,0.0022500512377682464,2.3849405968429355e-06,0.0008236740119159223,2.352914613684171e-06,229999.66666666666,740.0583310343362,6.0,2.6457513110645907,2.606705414208836e-05,1.142999168472134e-05
10,177.54666666666665,0.37674532118800563,549.891838268179,2.1355273258411,0.3228779510749591,0.0010763997303682657,0.47685122444655964,0.0022405855235475315,0.1539737368460423,0.0011725365453246984,0.002685804426861501,1.4052507620393684e-05,0.0008672352274919519,7.068261460996866e-06,159792.0,339.07078906918537,1.0,1.7320508075688772,6.247071685147587e-06,1.0820245557200546e-05
11,170.98925925925926,0.46128956832299917,699.1317249575303,1.2601943855284383,0.2445739776770526,0.0006463492888025955,0.3231871427534289,0.0017670998899891074,0.07861330831839171,0.0011286763507503484,0.0018901020494023306,7.763392267014759e-06,0.00045975154172534974,5.888972731027975e-06,153890.33333333334,415.16061149070583,0.0,0.0,0.0,0.0
12,168.6848148148148,0.35928312253696376,699.9414565191881,1.1053981355547793,0.24099894911933248,0.0006860984691866551,0.3176377358090074,0.0018414323334852982,0.07663878668967226,0.0012624597720676135,0.0018830228842217857,9.514582577396035e-06,0.00045432959254694706,7.257275812921817e-06,151816.33333333334,323.3548102832801,0.0,0.0,0.0,0.0
