\Pi_{0}=\frac{\lambda_{1}*W_{1}}{c_{1}},\Pi_{1}=\frac{\mu_{1}}{\lambda_{1}},\Pi_{2}=\frac{\chi_{1}}{\lambda_{1}},\Pi_{3}=\frac{K_{1}}{c_{1}},\Pi_{4}=\frac{L_{1}}{c_{1}},\Pi_{5}=\frac{\lambda_{2}*W_{2}}{c_{2}},\Pi_{6}=\frac{\mu_{2}}{\lambda_{2}},\Pi_{7}=\frac{\chi_{2}}{\lambda_{2}},\Pi_{8}=\frac{K_{2}}{c_{2}},\Pi_{9}=\frac{L_{2}}{c_{2}},\Pi_{10}=\frac{\lambda_{3}*W_{3}}{c_{3}},\Pi_{11}=\frac{\mu_{3}}{\lambda_{3}},\Pi_{12}=\frac{\chi_{3}}{\lambda_{3}},\Pi_{13}=\frac{K_{3}}{c_{3}},\Pi_{14}=\frac{L_{3}}{c_{3}},\Pi_{15}=\frac{\lambda_{4}*W_{4}}{c_{4}},\Pi_{16}=\frac{\mu_{4}}{\lambda_{4}},\Pi_{17}=\frac{\chi_{4}}{\lambda_{4}},\Pi_{18}=\frac{K_{4}}{c_{4}},\Pi_{19}=\frac{L_{4}}{c_{4}},\Pi_{20}=\frac{\lambda_{5}*W_{5}}{c_{5}},\Pi_{21}=\frac{\mu_{5}}{\lambda_{5}},\Pi_{22}=\frac{\chi_{5}}{\lambda_{5}},\Pi_{23}=\frac{K_{5}}{c_{5}},\Pi_{24}=\frac{L_{5}}{c_{5}},\Pi_{25}=\frac{\lambda_{6}*W_{6}}{c_{6}},\Pi_{26}=\frac{\mu_{6}}{\lambda_{6}},\Pi_{27}=\frac{\chi_{6}}{\lambda_{6}},\Pi_{28}=\frac{K_{6}}{c_{6}},\Pi_{29}=\frac{L_{6}}{c_{6}},\Pi_{30}=\frac{\lambda_{7}*W_{7}}{c_{7}},\Pi_{31}=\frac{\mu_{7}}{\lambda_{7}},\Pi_{32}=\frac{\chi_{7}}{\lambda_{7}},\Pi_{33}=\frac{K_{7}}{c_{7}},\Pi_{34}=\frac{L_{7}}{c_{7}},\Pi_{35}=\frac{\lambda_{8}*W_{8}}{c_{8}},\Pi_{36}=\frac{\mu_{8}}{\lambda_{8}},\Pi_{37}=\frac{\chi_{8}}{\lambda_{8}},\Pi_{38}=\frac{K_{8}}{c_{8}},\Pi_{39}=\frac{L_{8}}{c_{8}},\Pi_{40}=\frac{\lambda_{9}*W_{9}}{c_{9}},\Pi_{41}=\frac{\mu_{9}}{\lambda_{9}},\Pi_{42}=\frac{\chi_{9}}{\lambda_{9}},\Pi_{43}=\frac{K_{9}}{c_{9}},\Pi_{44}=\frac{L_{9}}{c_{9}},\Pi_{45}=\frac{\lambda_{10}*W_{10}}{c_{10}},\Pi_{46}=\frac{\mu_{10}}{\lambda_{10}},\Pi_{47}=\frac{\chi_{10}}{\lambda_{10}},\Pi_{48}=\frac{K_{10}}{c_{10}},\Pi_{49}=\frac{L_{10}}{c_{10}},\Pi_{50}=\frac{\lambda_{11}*W_{11}}{c_{11}},\Pi_{51}=\frac{\mu_{11}}{\lambda_{11}},\Pi_{52}=\frac{\chi_{11}}{\lambda_{11}},\Pi_{53}=\frac{K_{11}}{c_{11}},\Pi_{54}=\frac{L_{11}}{c_{11}},\Pi_{55}=\frac{\lambda_{12}*W_{12}}{c_{12}},\Pi_{56}=\frac{\mu_{12}}{\lambda_{12}},\Pi_{57}=\frac{\chi_{12}}{\lambda_{12}},\Pi_{58}=\frac{K_{12}}{c_{12}},\Pi_{59}=\frac{L_{12}}{c_{12}},\Pi_{60}=\frac{\lambda_{13}*W_{13}}{c_{13}},\Pi_{61}=\frac{\mu_{13}}{\lambda_{13}},\Pi_{62}=\frac{\chi_{13}}{\lambda_{13}},\Pi_{63}=\frac{K_{13}}{c_{13}},\Pi_{64}=\frac{L_{13}}{c_{13}}
200645.4216692024,0.7576903419556645,1.0,5.5,0.4422556638356734,229377.3963469348,0.3491500060361909,1.0,9.0,0.5361831103728173,27888.41315680849,1.1425227146542565,1.0,7.0,3.231474683269948,277.05729931189614,0.30362724952958714,1.114460018978787,6.0,0.43434687597170707,15003.188037093058,0.029110288208796457,1.0139919899957968,11.0,0.029983105037842673,17758.809242060383,0.23424299133892473,1.0707542657389433,3.0,0.2938181496984122,153461.1381034411,0.12553834624133495,1.070769316565503,7.0,0.1435602283312483,12222.623778434754,0.11198869128765054,1.0195988481004055,5.0,0.12609994926498364,4386.834969783866,0.19957479123434665,1.0344966624536593,6.0,0.24924768811253273,184819.67192203735,0.17732035468128546,1.0,9.0,0.21553967314887507,96558.2026000698,0.6562731967851094,1.0076748143698429,4.5,0.36762531351458205,156548.14209313545,0.1573905740218348,1.0,3.0,0.18433340301156437,139860.7083737267,0.09143100137191713,1.0,11.0,0.10063187441598241
915172.3340983142,0.48122411642040136,1.0,1.5,0.245059524368868,29831.889823451063,0.6789879998573884,1.0,10.0,1.9573650513739005,45930.3817865624,2.065194034474566,1.0,5.0,2.3830596645824973,27266.361553243987,0.4297713764903049,1.039209498437304,6.0,0.22528856006041334,66027.33428717603,0.10947122930027581,1.0213766709065717,6.0,0.12292702765025267,102967.24965187522,0.05841948314761046,1.0702380424595184,2.5,0.029234681266381905,100933.1586360221,0.07928536598863441,1.0163425838762643,7.0,0.08611284273996639,7498.72552786745,0.029521673075710894,1.0007253234545015,4.0,0.030419601807397226,8451.46949747838,0.39489013143313695,1.0180400699753975,2.0,0.45573487514178146,144514.17198375103,0.18992277684445139,1.0,1.5,0.09553484482079665,6740.330927202259,2.318344380821234,1.0003434102337925,5.0,2.383059664582497,5248.615000315386,1.2051086360845247,1.0,11.0,4.892606629877845,8577.96306253496,2.475915674974154,1.0,10.0,4.489790459202622
1662515.7908644145,0.3780615586585125,1.0,4.0,0.19603335834630226,867673.2172858752,0.3523833728000105,1.0,4.5,0.18183628917490616,3653.5995179226898,1.6988931797503037,1.0,9.0,4.078692813090228,24967.337950932833,0.20929393825944473,1.09548450442796,4.0,0.10580563336672022,27523.226798806856,0.1443071972445585,1.0206371474424603,8.0,0.16864345215591886,116598.38246991788,0.11231097466607223,1.0753471910470074,10.0,0.12652062953424298,75531.58683980693,0.10679496025405308,1.030845629641971,11.0,0.11956376809163312,14256.385174550493,0.03682802926161971,1.0017672158981705,5.0,0.03823617792229934,17243.774317759697,0.3017376976344208,1.0937838338452097,2.5,0.15432268293300325,30291.001368431615,1.3140092547071216,1.0,8.0,3.659268066896687,11142.573608693698,0.6052355603082133,1.0056808636033323,6.0,1.3185289322784242,138411.7281406189,0.07086434473602332,1.0,2.0,0.035476443381864085,677461.1210024927,0.22848245437741238,1.0,4.0,0.11575188563971262
102764.94057454255,1.6655061721242053,1.0,3.5,1.443155275964306,224282.9978178156,0.35590431261071015,1.0,2.0,0.18303685249085944,96334.29737363152,0.19631236756436388,1.0,11.0,0.2442644729679571,46122.85710446572,0.2270610620557641,1.0454829899120066,2.5,0.1150016120199671,48946.94129745548,0.3774168252260649,1.0025430547978482,3.0,0.5233696692516129,7498.06612582942,0.039909646634109175,1.051021339913873,8.0,0.04156863621426273,55238.0832338476,0.07977001163328706,1.044119924737778,3.0,0.08652289366134992,33208.335627755645,0.09899090117532057,1.0391196709829968,2.0,0.10695378524699348,3118.965851048288,0.5082380538918264,1.072005282630892,4.0,0.8579995965280162,48332.63861001278,0.3492870759922718,1.0,6.0,0.53233324993171,104080.07099200363,0.4790286945968661,1.0026712445908679,6.0,0.2540907174843372,178552.69727620974,0.29602935392058927,1.0,4.0,0.15132980474853405,17826.709381717774,0.7724585286031553,1.0,3.0,0.4477178001083185
1653996.8395933472,0.31510977377274746,1.0,6.0,0.16156551489324944,166283.87138203502,0.3045788159769391,1.0,6.0,0.4362749210657196,544497.0624655964,0.275061423191803,1.0,4.5,0.14018219465294846,2577.0719676425874,0.5647141063730007,1.008491109372054,7.0,1.2137353267650601,16429.617989888007,0.42117493734771755,1.0542872079592764,7.0,0.7197086643603623,631332.0027137253,0.14433819794554878,1.0077081083640818,2.0,0.07253794401369539,8398.908926569302,0.21472116697214758,1.0958163391152018,8.0,0.273424293181543,7088.674961652224,0.14648870645038298,1.017973510021214,2.0,0.16217044409465817,5111.547069193889,0.33690183182598665,1.0964663473856018,7.0,0.5067443583514536,255897.81330777972,0.736686212842533,1.0,3.0,0.4216322279746075,23459.03706836956,0.7681310971733969,1.0046384428863242,8.0,2.388939243408368,181064.06537142608,0.6642316476160194,1.0,2.0,0.35879217149517606,85454.9022687683,0.027555224247601647,1.0,3.5,0.013780227922426015
68012.54199525435,0.9947273040742132,1.0,10.0,4.489790459202622,13709.258252355537,0.01134743315555585,1.0,9.0,0.011477675308904822,37575.01946637808,0.025905320868638955,1.0,1.5,0.012954723091100252,9663.223938589814,0.9057715995801151,1.0251156112388127,2.0,0.5066086072835541,94442.85789377868,0.209652526692639,1.0659845557221053,2.0,0.2373638307283576,139207.6843506304,0.05207097819508827,1.04478540257444,3.0,0.05490189828981372,13936.345405123491,0.4556698909808107,1.0641749303584922,5.0,0.7829255992432332,14083.326199186706,0.0337573826880024,1.0337917255077118,8.0,0.03493675613420719,7188.736666060169,0.06953912219824956,1.0271342515366235,6.0,0.03481164567663398,261476.70762262744,0.16727017624907062,1.0,4.0,0.08422422041983876,56205.896347564485,0.1396968499539193,1.0085748609795195,3.0,0.07019081980080491,782159.7199315252,0.24462313400620295,1.0,3.0,0.12416663790100621,65723.083110134,0.06725708212240526,1.0,8.0,0.07210677304207841
93734.83473064247,0.48373588123428485,1.0,2.5,0.2559602366223524,133559.1338127409,0.9237123172830405,1.0,2.5,0.5488414515503347,171500.04182822598,1.0420171398725806,1.0,1.5,0.5189364428173463,6840.85545318195,0.42214075579781574,1.1199445172698128,4.5,0.22091074685914203,26084.3966472689,0.4538156333931092,1.0263942740628456,6.0,0.8030237197124657,293586.2546263782,0.27908443481836526,1.0715227417020674,2.0,0.1420868622988859,87065.18478444823,0.08001861982392514,1.0630130925725993,7.0,0.08697850758438094,53889.43297680226,0.2473085808617132,1.0224594454294784,5.0,0.3271926490921731,3768.7230965677936,0.050372528009470896,1.0037049896072523,11.0,0.05304451429135807,333098.0659701843,0.3913734494750252,1.0,2.0,0.2023173697706907,34074.73422542577,0.17907953075787467,1.0018831670595885,4.0,0.09026343771528765,777042.5171143563,0.24055373401948438,1.0,6.0,0.12204239634297936,288492.5776387616,0.14316808382231203,1.0,3.5,0.07195274247633612
558106.4536493733,0.6363929365827994,1.0,2.0,0.34220895894150255,52499.645009063664,0.0776294040756501,1.0,2.0,0.08275880473402418,96631.32094586248,0.44607256009284113,1.0,3.0,0.6403882440847832,19187.9129923294,0.11316403887881021,1.0020755563052428,6.0,0.05676374999979941,1432.0933175897433,0.6939267022218721,1.0176766852054688,8.0,1.918389757619065,305566.6467211961,0.2932071894706276,1.0110909713180851,3.0,0.14981497410620853,14822.162562440213,0.30759875461543024,1.0445716252234158,5.0,0.43916269009143394,34369.340681551126,0.13257755009314567,1.0386081615573748,8.0,0.15284069638690564,12419.794634866199,0.17750514584646787,1.0308573059511539,6.0,0.21577421102685215,74660.98117658762,0.3397003756682023,1.0,3.0,0.46047984864857794,25200.452251233204,0.2401786882787436,1.002734428157451,10.0,0.31609722219182984,147775.7637368143,0.669267229358371,1.0,2.0,0.7392381142379054,146758.43396818728,0.09602482856538581,1.0,10.0,0.10622507291804072
100248.20316333651,2.2799482500454853,1.0,2.0,0.9658194566170026,63956.15298533411,0.6528602042976257,1.0,7.0,1.6076435667838174,46359.97485950075,0.21700447716977342,1.0,10.0,0.2771459580829883,11891.778847643662,0.1988336658309925,1.048516046469043,6.0,0.24809424909346844,68321.03896151228,0.1407768053836285,1.0414286343992578,2.0,0.1554487453167406,73148.7532552458,0.027731290867924308,1.0696970722660941,7.0,0.028522249666924935,46804.48859879277,0.31884218077692245,1.0438136682385113,4.0,0.4515581975999099,2619.6243769151292,1.1777997242986622,1.0327908908708159,11.0,4.892606629877845,16254.678999110518,0.10063200139643713,1.0011122770411147,6.0,0.05044370903265682,568076.9191497113,0.6185084564879911,1.0,4.0,0.341785326398032,2783.2740199345276,3.3870671076932117,1.0063523403721901,5.0,2.3506367390720806,69161.07710950135,0.12940108640702055,1.0,4.0,0.14845314402988527,108187.90774160648,0.714144756110667,1.0,2.0,0.7796920978536448
262845.4745689885,0.2188937339251382,1.0,7.0,0.2801933713359184,46887.77004935471,0.03880458111759163,1.0,4.5,0.019409597279932213,126029.97528635162,0.1302281670043588,1.0,11.0,0.14972681548848454,7138.534194521027,0.17350346339294426,1.0301909647335297,2.0,0.19417499522454798,152072.6784589982,0.2064596169022386,1.0431191481391522,6.0,0.2600633810745427,172489.53085246656,0.16289143958186109,1.0163676815408347,4.0,0.08198958866792784,77146.73696672556,0.06833568914969144,1.100258533739801,4.0,0.07334052256736161,15809.074704178347,0.07614147252102495,1.0356224553497713,4.0,0.0824040136824889,3874.919164937352,0.07316845356200706,1.0367437125551957,7.0,0.07894470980439107,63483.652304561634,1.2800042934595106,1.0,5.0,2.3506367390720806,13135.755827305364,0.9885641940992927,1.0019227997127693,6.0,2.795275288073255,2001.5661220761947,0.82913420199095,1.0,6.0,2.2715736052670423,83911.66035090617,0.052597169831600725,1.0,2.0,0.05508063061088736
