name,coef,mean,median,std_dev,variance,min,max,count
\Pi_{0},\frac{\lambda_{1}*W_{1}}{c_{1}},407353.39847397123,268791.9818137528,417871.279274443,174616406042.4595,2372.7339328810094,2108528.8736126046,1000
\Pi_{1},\frac{\mu_{1}}{\lambda_{1}},0.6575089443084496,0.39662553897737074,0.821014219539635,0.6740643486862761,0.024867249465001778,6.993325961971723,1000
\Pi_{2},\frac{\chi_{1}}{\lambda_{1}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{3},\frac{K_{1}}{c_{1}},5.0605,4.5,2.6379139011726673,6.95858975,1.5,11.0,1000
\Pi_{4},\frac{L_{1}}{c_{1}},0.7270888570328857,0.31298294276834515,0.9895735492414072,0.9792558093582358,0.012435547206219547,4.892606629877847,1000
\Pi_{5},\frac{\lambda_{2}*W_{2}}{c_{2}},234680.82956233912,139284.7387197116,258968.44422067996,67064655102.07943,566.1027776331158,1223848.361717051,1000
\Pi_{6},\frac{\mu_{2}}{\lambda_{2}},0.6021375887493697,0.37070179908104134,0.7740855369834546,0.5992084185669633,0.0010852512863016573,6.175693824743729,1000
\Pi_{7},\frac{\chi_{2}}{\lambda_{2}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{8},\frac{K_{2}}{c_{2}},5.0955,4.5,2.6810687700989693,7.188129749999999,1.5,11.0,1000
\Pi_{9},\frac{L_{2}}{c_{2}},0.7121549926464695,0.2977316297068852,0.999341759403294,0.9986839520872711,0.0005426258029229747,4.892606629877847,1000
\Pi_{10},\frac{\lambda_{3}*W_{3}}{c_{3}},165018.43558806943,107263.95788334482,172883.76210406903,29888795199.256336,550.3391547136048,831504.7578683377,1000
\Pi_{11},\frac{\mu_{3}}{\lambda_{3}},0.4131049747473462,0.25527277770990486,0.5275721066862863,0.2783323277534062,0.0002667127663010425,4.765423368181441,1000
\Pi_{12},\frac{\chi_{3}}{\lambda_{3}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{13},\frac{K_{3}}{c_{3}},5.144,5.0,2.6662265470135877,7.108764,1.5,11.0,1000
\Pi_{14},\frac{L_{3}}{c_{3}},0.4953743627675134,0.1948710893169118,0.8343121335248049,0.696076736146712,0.0001333563855221212,4.892606629877847,1000
\Pi_{15},\frac{\lambda_{4}*W_{4}}{c_{4}},14918.621237839014,9980.895107739589,15006.886615534262,225206645.8915014,83.40063411011042,76337.85507093476,1000
\Pi_{16},\frac{\mu_{4}}{\lambda_{4}},0.5167269763310502,0.32930328619347227,0.6029727544255354,0.3635761425795171,0.020482177950641136,5.389833791570004,1000
\Pi_{17},\frac{\chi_{4}}{\lambda_{4}},1.0601552161594012,1.0600856848736473,0.03472680564369967,0.001205951030215291,1.0000173708618854,1.1199445172698128,1000
\Pi_{18},\frac{K_{4}}{c_{4}},5.178,5.0,2.707178605116404,7.328816,1.5,11.0,1000
\Pi_{19},\frac{L_{4}}{c_{4}},0.5949392052428525,0.2599344835527029,0.8619149471872387,0.7428973761847805,0.010242119729636361,4.892606629877847,1000
\Pi_{20},\frac{\lambda_{5}*W_{5}}{c_{5}},49679.675043839736,37553.90628341358,40463.14367002748,1637265995.6612847,806.905340064588,176085.81026111328,1000
\Pi_{21},\frac{\mu_{5}}{\lambda_{5}},0.327257194080514,0.20217944370571023,0.40961049200802324,0.16778075516305488,0.015025723546440353,3.3515093338041297,1000
\Pi_{22},\frac{\chi_{5}}{\lambda_{5}},1.0351479027198758,1.0356943571250152,0.02058696030138546,0.00042382293445082084,1.0000044274983166,1.0699491026172625,1000
\Pi_{23},\frac{K_{5}}{c_{5}},6.514,7.0,2.820603481526604,7.955804,2.0,11.0,1000
\Pi_{24},\frac{L_{5}}{c_{5}},0.5477738324607877,0.2460102053534724,0.8177831581042362,0.6687692936789381,0.015254940058476534,4.892606629877845,1000
\Pi_{25},\frac{\lambda_{6}*W_{6}}{c_{6}},140967.87168009597,91287.17678215168,136927.62905033887,18749175597.347202,1355.574419821179,732227.5444574374,1000
\Pi_{26},\frac{\mu_{6}}{\lambda_{6}},0.20525504566858932,0.1271935554960906,0.24502250409097553,0.06003602751101212,0.007736317035766793,1.9175528962714739,1000
\Pi_{27},\frac{\chi_{6}}{\lambda_{6}},1.0400512271401812,1.0408525948588159,0.02337617630159252,0.0005464456184831357,1.0001159843703982,1.0799223958243513,1000
\Pi_{28},\frac{K_{6}}{c_{6}},5.195,5.0,2.7581651509654024,7.607475,1.5,11.0,1000
\Pi_{29},\frac{L_{6}}{c_{6}},0.23441973583126718,0.09689120250453973,0.49405290103936905,0.24408826902541658,0.0038682163966526997,4.892606629877843,1000
\Pi_{30},\frac{\lambda_{7}*W_{7}}{c_{7}},49922.14878084904,39736.66688358762,40780.44603920232,1663044779.156292,1019.9581593614489,192385.21200480795,1000
\Pi_{31},\frac{\mu_{7}}{\lambda_{7}},0.18047371616749946,0.11545096043867799,0.21943282548339094,0.0481507648996243,0.007140949070711296,1.932439375837538,1000
\Pi_{32},\frac{\chi_{7}}{\lambda_{7}},1.054568390256957,1.0547430081589808,0.0313038156753658,0.0009799288758372772,1.000027119062626,1.109957682133935,1000
\Pi_{33},\frac{K_{7}}{c_{7}},6.454,6.0,2.8195538654191377,7.949884,2.0,11.0,1000
\Pi_{34},\frac{L_{7}}{c_{7}},0.28387130810658356,0.13022295189674837,0.5147697015287979,0.26498784561204763,0.00719230898285871,4.892606629877847,1000
\Pi_{35},\frac{\lambda_{8}*W_{8}}{c_{8}},24134.43448205468,17553.643468162652,20619.19009198738,425151000.0495106,479.2546301419617,91116.27291962443,1000
\Pi_{36},\frac{\mu_{8}}{\lambda_{8}},0.2868450359193489,0.17668988943701694,0.35430836103906577,0.12553441470218898,0.01346670218911384,3.1858146464107246,1000
\Pi_{37},\frac{\chi_{8}}{\lambda_{8}},1.020195791121202,1.0205856429606375,0.011641494339692627,0.0001355243904610955,1.0000175558552526,1.0399993390025026,1000
\Pi_{38},\frac{K_{8}}{c_{8}},6.399,6.0,2.8677166875408036,8.223799,2.0,11.0,1000
\Pi_{39},\frac{L_{8}}{c_{8}},0.487733975404273,0.21327145781558143,0.801229896403198,0.6419693468902794,0.013650529808772198,4.892606629877845,1000
\Pi_{40},\frac{\lambda_{9}*W_{9}}{c_{9}},11160.27129825197,7919.207873789526,10726.371916021217,115055054.48080866,131.50583654247333,53620.75100111909,1000
\Pi_{41},\frac{\mu_{9}}{\lambda_{9}},0.32801481746351663,0.19529724897122036,0.4039027103314236,0.16313739941306987,0.012077746061148977,3.114968560231755,1000
\Pi_{42},\frac{\chi_{9}}{\lambda_{9}},1.0520266275377423,1.0545779792947212,0.029351093173431885,0.0008614866704754799,1.0000332420253246,1.0999730022703857,1000
\Pi_{43},\frac{K_{9}}{c_{9}},5.203,5.0,2.6278871741381895,6.905790999999999,1.5,11.0,1000
\Pi_{44},\frac{L_{9}}{c_{9}},0.3976601548346567,0.15633098393543904,0.7413487751169938,0.549598006367467,0.0060390932641520186,4.892606629877847,1000
\Pi_{45},\frac{\lambda_{10}*W_{10}}{c_{10}},231198.1755703057,150868.58922157544,237601.87890215623,56454652857.83491,1569.9933790715363,1198322.5088789614,1000
\Pi_{46},\frac{\mu_{10}}{\lambda_{10}},0.5897599950472975,0.36863160360388636,0.7036040212431877,0.49505861870958406,0.024527787878115194,5.90363535529222,1000
\Pi_{47},\frac{\chi_{10}}{\lambda_{10}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{48},\frac{K_{10}}{c_{10}},5.1135,5.0,2.612636168700112,6.82586775,1.5,11.0,1000
\Pi_{49},\frac{L_{10}}{c_{10}},0.6744376433986023,0.3152551701002594,0.9420889164787403,0.8875315265520869,0.014125077788460437,4.892606629877847,1000
\Pi_{50},\frac{\lambda_{11}*W_{11}}{c_{11}},49767.19827957621,29904.997821210578,53839.82385799792,2898726633.060242,339.4854014768201,270165.74483905855,1000
\Pi_{51},\frac{\mu_{11}}{\lambda_{11}},1.0369943642369122,0.6558573684868412,1.3070551580937366,1.7083931862994428,0.03823104361155764,11.223135527707234,1000
\Pi_{52},\frac{\chi_{11}}{\lambda_{11}},1.0049746691145027,1.0051121545311776,0.0028399053723744713,8.065062524041384e-06,1.0000120089286966,1.0099872787209976,1000
\Pi_{53},\frac{K_{11}}{c_{11}},4.9565,4.5,2.654215091133347,7.04485775,1.5,11.0,1000
\Pi_{54},\frac{L_{11}}{c_{11}},1.116301234116358,0.6428521871593162,1.1855780983125082,1.4055954271983033,0.01912250923134502,4.892606629877845,1000
\Pi_{55},\frac{\lambda_{12}*W_{12}}{c_{12}},163764.27400680553,101571.71652798468,168362.77281786583,28346023270.920303,1466.2005047259704,821838.2474984835,1000
\Pi_{56},\frac{\mu_{12}}{\lambda_{12}},0.40854584295559754,0.24472330382261487,0.5001710516409559,0.25017108089961976,0.014432577058772574,4.0775470213071,1000
\Pi_{57},\frac{\chi_{12}}{\lambda_{12}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{58},\frac{K_{12}}{c_{12}},5.1835,5.0,2.6788202160652737,7.176077749999999,1.5,11.0,1000
\Pi_{59},\frac{L_{12}}{c_{12}},0.4956427694880539,0.1938195971340902,0.8141150244825277,0.6627832730881866,0.00721666423887862,4.892606629877845,1000
\Pi_{60},\frac{\lambda_{13}*W_{13}}{c_{13}},157908.89713546794,104627.38037341817,159007.0943871989,25283256065.45958,1382.1786748670029,792411.437723189,1000
\Pi_{61},\frac{\mu_{13}}{\lambda_{13}},0.4099152619298145,0.24115651075498992,0.4939923087650994,0.2440284011190733,0.015694113644764078,4.000152608020476,1000
\Pi_{62},\frac{\chi_{13}}{\lambda_{13}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{63},\frac{K_{13}}{c_{13}},5.2365,4.75,2.708748373326692,7.33731775,1.5,11.0,1000
\Pi_{64},\frac{L_{13}}{c_{13}},0.5215784782223201,0.17971745734044237,0.8831858523529135,0.7800172497963422,0.007847540044868175,4.892606629877845,1000
