_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_dist_params
1,1,\lambda_{1},lambda_tas_1,SOFTWARE,TAS 1 arrival rate,Arrival rate for TAS 1,TRUE,IN,E*T^-1,req/s,0,345,345,req/s,0,345,345,exponential,{'scale': 1/345}
2,1,\chi_{1},chi_tas_1,SOFTWARE,TAS 1 departure rate,Departure rate for TAS 1,TRUE,CTRL,E*T^-1,req/s,0,345,345,req/s,0,345,345,exponential,{'scale': 1/345}
3,1,\mu_{1},mu_tas_1,SOFTWARE,TAS 1 service rate,Service rate for TAS 1,TRUE,CTRL,E*T^-1,req/s,0,900,900,req/s,0,900,900,exponential,{'scale': 1/900}
4,1,c_{1},c_tas_1,SOFTWARE,TAS 1 resourses,Number of resources allocated in TAS 1,TRUE,IN,E,req,0,1,1,req,0,1,1,uniform,"{'low': 0, 'high': 1}"
5,1,K_{1},K_tas_1,SOFTWARE,TAS 1 q-capacity,Allocated request capacity in TAS 1 memory buffer,TRUE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
7,1,L_{1},L_tas_1,SOFTWARE,TAS 1 mean processing requests,Average number of request in TAS 1 component,TRUE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
8,1,Lq_{1},Lq_tas_1,SOFTWARE,TAS 1 mean in memory requests,Average number of request in TAS 1 memory,FALSE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
9,1,W_{1},W_tas_1,SOFTWARE,TAS 1 mean time to answer,Average time to complete a request in TAS 1,TRUE,OUT,T,s,0,0.001801802,0.001801802,s,0,0.001801802,0.001801802,exponential,"{'low': 0, 'high': 0.0018018018018018}"
10,1,Wq_{1},Wq_tas_1,SOFTWARE,TAS 1 mean time in buffer,Average time for a request to transit the buffer in TAS 1,FALSE,CTRL,T,s,0,0.000690691,0.000690691,s,0,0.000690691,0.000690691,exponential,"{'low': 0, 'high': 0.00069069069069069}"
12,2,\lambda_{2},lambda_tas_2,SOFTWARE,TAS 2 arrival rate,Arrival rate for TAS 2,TRUE,IN,E*T^-1,req/s,0,258.75,258.75,req/s,0,258.75,258.75,exponential,{'scale': 1/258.75}
13,2,\chi_{2},chi_tas_2,SOFTWARE,TAS 2 departure rate,Departure rate for TAS 2,TRUE,CTRL,E*T^-1,req/s,0,258.75,258.75,req/s,0,258.75,258.75,exponential,{'scale': 1/258.75}
14,2,\mu_{2},mu_tas_2,SOFTWARE,TAS 2 service rate,Service rate for TAS 2,TRUE,CTRL,E*T^-1,req/s,0,700,700,req/s,0,700,700,exponential,{'scale': 1/700}
15,2,c_{2},c_tas_2,SOFTWARE,TAS 2 resourses,Number of resources allocated in TAS 2,TRUE,IN,E,req,0,1,1,req,0,1,1,uniform,"{'low': 0, 'high': 1}"
16,2,K_{2},K_tas_2,SOFTWARE,TAS 2 q-capacity,Allocated request capacity in TAS 2 memory buffer,TRUE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
18,2,L_{2},L_tas_2,SOFTWARE,TAS 2 mean processing requests,Average number of request in TAS 2 component,TRUE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
19,2,Lq_{2},Lq_tas_2,SOFTWARE,TAS 2 mean in memory requests,Average number of request in TAS 2 memory,FALSE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
20,2,W_{2},W_tas_2,SOFTWARE,TAS 2 mean time to answer,Average time to complete a request in TAS 2,TRUE,OUT,T,s,0,0.002266289,0.002266289,s,0,0.002266289,0.002266289,exponential,"{'low': 0, 'high': 0.00226628895184136}"
21,2,Wq_{2},Wq_tas_2,SOFTWARE,TAS 2 mean time in buffer,Average time for a request to transit the buffer in TAS 2,FALSE,CTRL,T,s,0,0.000837718,0.000837718,s,0,0.000837718,0.000837718,exponential,"{'low': 0, 'high': 0.000837717523269931}"
23,3,\lambda_{3},lambda_tas_3,SOFTWARE,TAS 3 arrival rate,Arrival rate for TAS 3,TRUE,IN,E*T^-1,req/s,0,173.34525,173.34525,req/s,0,173.34525,173.34525,exponential,{'scale': 1/173.34525}
24,3,\chi_{3},chi_tas_3,SOFTWARE,TAS 3 departure rate,Departure rate for TAS 3,TRUE,CTRL,E*T^-1,req/s,0,173.34525,173.34525,req/s,0,173.34525,173.34525,exponential,{'scale': 1/173.34525}
25,3,\mu_{3},mu_tas_3,SOFTWARE,TAS 3 service rate,Service rate for TAS 3,TRUE,CTRL,E*T^-1,req/s,0,700,700,req/s,0,700,700,exponential,{'scale': 1/700}
26,3,c_{3},c_tas_3,SOFTWARE,TAS 3 resourses,Number of resources allocated in TAS 3,TRUE,IN,E,req,0,1,1,req,0,1,1,uniform,"{'low': 0, 'high': 1}"
27,3,K_{3},K_tas_3,SOFTWARE,TAS 3 q-capacity,Allocated request capacity in TAS 3 memory buffer,TRUE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
29,3,L_{3},L_tas_3,SOFTWARE,TAS 3 mean processing requests,Average number of request in TAS 3 component,TRUE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
30,3,Lq_{3},Lq_tas_3,SOFTWARE,TAS 3 mean in memory requests,Average number of request in TAS 3 memory,FALSE,CTRL,E,req,0,1000,1000,req,0,1000,1000,uniform,"{'low': 0, 'high': 1000}"
31,3,W_{3},W_tas_3,SOFTWARE,TAS 3 mean time to answer,Average time to complete a request in TAS 3,TRUE,OUT,T,s,0,0.001898777,0.001898777,s,0,0.001898777,0.001898777,exponential,"{'low': 0, 'high': 0.00189877714005237}"
