node,delta_lambda,delta_mu,delta_rho,delta_L,delta_Lq,delta_W,delta_Wq,name,type
1,-0.30443548387096775,0.0,-0.3044354838709677,-0.4873628007247193,-0.6402213985288908,-0.263816345913977,-0.4833322164926789,TAS 1(1)*,M/M/s/K
2,-0.30443548387096775,0.0,-0.30443548387096775,-0.47829217845026545,-0.634563910214524,-0.25056001388192695,-0.4750463636095559,TAS 2(1)+,M/M/s/K
3,-0.30090540223870776,0.0,-0.30090540223870776,-0.4004813925553838,-0.580728626821815,-0.14245312583202369,-0.4002774041833514,TAS 3(1)++,M/M/s/K
4,-0.5784457478005864,0.0,-0.5784457478005866,-0.8226096033019001,-0.919741094509274,-0.5870732718459294,-0.813174513015409,MAS 1,M/M/s/K
5,-0.15689149560117302,0.0,-0.15689149560117308,-0.1985873213872381,-0.32431145302345465,-0.04945540543978247,-0.1985750748957827,MAS 2,M/M/s/K
6,-0.24853372434017587,4.866666666666666,-0.8719091575579846,-0.9705690757231018,-0.9953984137921942,-0.9643610920603123,-0.994427782637963,MAS 3->4,M/M/s/K
7,-0.15261260877419114,0.0,-0.15261260877419108,-0.171834323632287,-0.2982227988183332,-0.02268350460088149,-0.17183426652260653,AS 1,M/M/s/K
8,-0.15261260877419108,0.0,-0.15261260877419114,-0.1854466703303309,-0.3097552995699513,-0.038747500612675616,-0.18544382631605905,AS 2,M/M/s/K
9,-0.6139679662193537,-0.8670886075949367,1.9044314922543866,2.3349054053850593,8.68598842665623,7.638934691858163,24.091152903125778,AS 3->4,M/M/s/K
10,-0.2974095796676441,0.0,-0.2974095796676441,-0.4674714445506858,-0.6234057507444548,-0.2426111537634839,-0.46438875244482125,TAS 4(1)+,M/M/s/K
11,-0.32579707139824443,-0.5454545454545454,0.4832464429238622,1.348305456009282,2.3610572588977674,2.5092680746647753,4.022707291160684,DS 3->1,M/M/s/K
12,-0.2938438406451593,0.0,-0.2938438406451592,-0.3910905381379813,-0.5698722882244233,-0.13772866731245625,-0.39089993096114084,TAS 5(1)++,M/M/s/K
13,-0.2974095796676441,0.0,-0.29740957966764403,-0.393273082926455,-0.5735935766254814,-0.13645681789882147,-0.3931036363356532,TAS 6(1)*+,M/M/s/K
