node,delta_lambda,delta_mu,delta_rho,delta_L,delta_Lq,delta_W,delta_Wq,name,type
1,0.0022560146963244545,0.0003790042101865243,0.0018754411552818035,0.0020957636542451217,0.002434679656510321,-0.00017542769325229777,0.00014106558967624518,TAS 1(1)*,M/M/1/K
2,0.0030419798959823285,-0.0006179583632782208,0.0036765976185839755,0.006109136328877545,0.010273744885732926,0.0030573759421391937,0.007204041802306006,TAS 2(1)+,M/M/1/K
3,0.008879227528600582,-0.00021852925863093434,0.009100452968318401,0.01351239384289213,0.02705609627706122,0.004592803843744497,0.01800088766850312,TAS 3(1)++,M/M/1/K
4,-0.39232719723607495,0.003855053638545927,-0.3946761118315459,-0.5819879908533866,-0.7469793021776684,-0.3120932300658968,-0.5836153943688129,MAS 1,M/M/1/K
5,0.2197662817141495,0.001994710505403391,0.21733865133316813,0.27682411742536567,0.5642129272074824,0.046778191110622175,0.28236505471688056,MAS 2,M/M/1/K
6,0.08689906127667811,4.854827672985636,-0.8143575835782975,-0.9288706305275602,-0.9863504434185396,-0.9345594178077683,-0.9874424023627937,MAS 3->4,M/M/1/K
7,0.22217404876695235,0.0007995729938605301,0.2211903938701254,0.252559166474159,0.5664602363537798,0.024876356254358214,0.28171987911923013,AS 1,M/M/1/K
8,0.22081189890404807,4.4065517183528235e-05,0.2207504020450455,0.26845725936125137,0.5455479689744137,0.03901764901000779,0.2659588278984083,AS 2,M/M/1/K
9,-0.4416307939531642,-0.8670881929570967,3.2010842623769986,3.924764697563453,19.41180777059407,7.819920146865691,35.555651503848964,AS 3->4,M/M/1/K
10,0.015926831534807066,0.00040830113316862507,0.01551110908711773,0.023069495667756016,0.036172537476386886,0.007023124595520254,0.019917793326129238,TAS 4(1)+,M/M/1/K
11,-0.03375366967205428,-0.5476454487669243,1.1360546321297116,3.34607897528126,8.038462968320546,3.4979325687419585,8.354399056949765,DS 3->1,M/M/1/K
12,0.01922661248486932,-0.00040348963721530514,0.01964208959191772,0.025440296627683302,0.043345317266886875,0.006077263764957199,0.023615858161566982,TAS 5(1)++,M/M/1/K
13,0.006850188963144334,0.000212353867406694,0.006629371926687834,0.003357493987105859,-0.00684862640575966,-0.0034571227000546097,-0.013564970949241596,TAS 6(1)*+,M/M/1/K
