name,coef,mean,median,std_dev,variance,min,max,count
\Pi_{0},\frac{\lambda_{1}*W_{1}}{c_{1}},364425.13449022186,215248.2271446143,392510.30178418366,154064337006.71094,2343.1348231065117,2038299.9431197653,1000
\Pi_{1},\frac{\mu_{1}}{\lambda_{1}},0.6111146184888164,0.39297546903188507,0.7492133920795192,0.5613207068712993,0.023077048720413756,6.6129008477609315,1000
\Pi_{2},\frac{\chi_{1}}{\lambda_{1}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{3},\frac{K_{1}}{c_{1}},8.2955,7.5,3.3853256490328962,11.46042975,3.5,15.0,1000
\Pi_{4},\frac{L_{1}}{c_{1}},0.9874493273748497,0.3328765913915158,1.4494587302940187,2.1009306108255488,0.013348986535678179,6.422107280105117,1000
\Pi_{5},\frac{\lambda_{2}*W_{2}}{c_{2}},221940.33460555327,147429.71171380047,237091.05576887506,56212168725.599815,1563.1516167817279,1195422.817000307,1000
\Pi_{6},\frac{\mu_{2}}{\lambda_{2}},0.6023830164511688,0.37116171400969744,0.7541056471372832,0.5686753270443407,0.020612441928401722,5.979214878516617,1000
\Pi_{7},\frac{\chi_{2}}{\lambda_{2}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{8},\frac{K_{2}}{c_{2}},8.0445,7.5,3.2012918876603553,10.248269750000002,3.5,15.0,1000
\Pi_{9},\frac{L_{2}}{c_{2}},0.8757347247800954,0.3122688470526289,1.3024903941625563,1.6964812268857314,0.012271895492804597,6.422107280105117,1000
\Pi_{10},\frac{\lambda_{3}*W_{3}}{c_{3}},160736.69073770577,111238.2779256361,155143.48383567345,24069500576.66987,1399.8630563341321,845677.4260642187,1000
\Pi_{11},\frac{\mu_{3}}{\lambda_{3}},0.385752862648683,0.23987618255414567,0.4641369933352773,0.21542314858231124,0.014789615631369603,3.9457168766977513,1000
\Pi_{12},\frac{\chi_{3}}{\lambda_{3}},1.0,1.0,0.0,0.0,1.0,1.0,1000
\Pi_{13},\frac{K_{3}}{c_{3}},8.1705,7.5,3.334693351719165,11.12017975,3.5,15.0,1000
\Pi_{14},\frac{L_{3}}{c_{3}},0.5145415760362789,0.1921996068914012,0.9566044882090001,0.9150921468616031,0.007740792140402557,6.422107280105117,1000
\Pi_{15},\frac{\lambda_{4}*W_{4}}{c_{4}},21400.745446937508,11696.63370661897,23641.32691139455,558912338.1314282,72.15455732519109,115783.01504695979,1000
\Pi_{16},\frac{\mu_{4}}{\lambda_{4}},0.8607582554099167,0.5243421162061114,1.0574698619885021,1.1182425090139818,0.03024270165391815,8.721997271332887,1000
\Pi_{17},\frac{\chi_{4}}{\lambda_{4}},1.0607913231757735,1.0611023610583281,0.034611292054587225,0.001197941537687933,1.0000939484939746,1.119934695967998,1000
\Pi_{18},\frac{K_{4}}{c_{4}},7.8735,7.0,3.1640555857949146,10.01124775,3.5,15.0,1000
\Pi_{19},\frac{L_{4}}{c_{4}},1.2477319881730065,0.4731849102163082,1.5858841691819647,2.51502859806197,0.017390100240873785,6.42210728010512,1000
\Pi_{20},\frac{\lambda_{5}*W_{5}}{c_{5}},39978.08005109768,30081.18731475676,33717.328051963435,1136858210.9637206,445.9387285593663,147892.42941324462,1000
\Pi_{21},\frac{\mu_{5}}{\lambda_{5}},0.28619990422908836,0.1717638186476635,0.3545629758265999,0.12571490382701409,0.009343098319737429,2.9636858852170986,1000
\Pi_{22},\frac{\chi_{5}}{\lambda_{5}},1.0358500182225088,1.035728131546642,0.02015080475640389,0.00040605493233070964,1.0000074129831908,1.069873435068079,1000
\Pi_{23},\frac{K_{5}}{c_{5}},10.547,11.0,2.877810104923534,8.281791000000002,6.0,15.0,1000
\Pi_{24},\frac{L_{5}}{c_{5}},0.661404571243053,0.20738515570517385,1.2472558305735837,1.5556471068998003,0.009431215089594098,6.42210728010512,1000
\Pi_{25},\frac{\lambda_{6}*W_{6}}{c_{6}},16642.541522793665,9249.29113451192,19246.64751582531,370433440.59842455,60.873330719588076,105391.84498154616,1000
