node,lambda,mu,rho,L,Lq,W,Wq
1,345.0,900,0.38333333333333336,0.6213327222926496,0.23801558483078872,0.0018010405065830583,0.0006899293954719466
2,258.75,700,0.36964285714285716,0.5862086214915571,0.2165768612015376,0.0022656085807886504,0.0008370371522172217
3,174.22500000000002,700,0.24889285714285717,0.3313654829617477,0.08247279636379808,0.0019019412255314727,0.00047336979696004474
4,58.80681818181818,180,0.32670454545454547,0.48518228215691106,0.15848078399802984,0.008250519628113545,0.002694964072557989
5,111.29032258064521,530,0.2099817407181985,0.26579314356848965,0.0558114304963986,0.0023882865320127332,0.0005014940791825443
6,112.5,880,0.1278409090909091,0.14657980292057327,0.018738893959670377,0.0013029315828412067,0.00016656794647757032
7,78.30337078651687,700,0.11186195826645266,0.12595109394576998,0.014089135709795354,0.0016085015589363926,0.00017993013036496404
8,72.59375000000001,410,0.17705792682926833,0.2151522981620753,0.03809437574483633,0.0029637854983846647,0.0005247611081407628
9,38.716666666666676,210,0.1843650793650794,0.2260386352401691,0.041673562697865894,0.0058382774930302314,0.0010763727311254698
10,258.75000000000006,700,0.3696428571428572,0.586208621491557,0.21657686120153763,0.0022656085807886495,0.0008370371522172216
11,172.50000000000003,250,0.6900000000000002,2.0369527093814126,1.3522749512079364,0.011900212531018492,0.007900212531018492
12,174.22500000000002,700,0.24889285714285717,0.3313654829617477,0.08247279636379808,0.0019019412255314727,0.00047336979696004474
13,170.77500000000003,700,0.24396428571428577,0.322686833064078,0.07872268511234597,0.0018895448120628956,0.0004609733834914671
