name,coef,mean,median,std_dev,variance,min,max,count
\Pi_{0},\frac{\lambda_{1}*W_{1}}{c_{1}},25353416.68464197,1605699.1258960401,69441043.70029676,4822058550186525.0,3566.374022309678,1108639978.1440709,14000
\Pi_{1},\frac{\mu_{1}}{\lambda_{1}},0.6349153489078478,0.38549912131615666,0.782389332974546,0.6121330683523551,0.02095692034347515,7.013353361627659,14000
\Pi_{2},\frac{\chi_{1}}{\lambda_{1}},1.0,1.0,0.0,0.0,1.0,1.0,14000
\Pi_{3},\frac{K_{1}}{c_{1}},5.082571428571429,4.5,2.6477624978267893,7.010646244897959,1.5,11.0,14000
\Pi_{4},\frac{L_{1}}{c_{1}},0.37584588943324276,0.04903938166441322,0.765501367615436,0.5859923438211029,1.1245152276305104e-06,4.001387435586689,14000
\Pi_{5},\frac{\lambda_{2}*W_{2}}{c_{2}},35996370.33091718,986804.1117106765,381168195.44162154,1.452891932162222e+17,1686.1693748281562,26494396526.998196,14000
\Pi_{6},\frac{\mu_{2}}{\lambda_{2}},0.6106837639679792,0.36594938756755635,0.7929862701357921,0.6288272246238755,0.00016974694893007172,7.360617101038897,14000
\Pi_{7},\frac{\chi_{2}}{\lambda_{2}},1.0,1.0,0.0,0.0,1.0,1.0,14000
\Pi_{8},\frac{K_{2}}{c_{2}},5.1295714285714284,5.0,2.650915710097327,7.027354102040816,1.5,11.0,14000
\Pi_{9},\frac{L_{2}}{c_{2}},0.36131226279635437,0.04008007956406402,0.7497945064232865,0.5621918018625398,6.691152877292038e-14,4.001387435586689,14000
\Pi_{10},\frac{\lambda_{3}*W_{3}}{c_{3}},73334318.16808066,1132487.1818514087,1221698329.471254,1.4925468082328532e+18,1417.757669601598,85993696594.61066,14000
\Pi_{11},\frac{\mu_{3}}{\lambda_{3}},0.41135937969771114,0.24929816552428805,0.5253887316789684,0.276033319375235,0.00017779277423736229,4.92667501770547,14000
\Pi_{12},\frac{\chi_{3}}{\lambda_{3}},1.0,1.0,0.0,0.0,1.0,1.0,14000
\Pi_{13},\frac{K_{3}}{c_{3}},5.110678571428571,4.5,2.6446611118787358,6.994232396683672,1.5,11.0,14000
\Pi_{14},\frac{L_{3}}{c_{3}},0.22955067997226583,0.014239211974521198,0.6052163463502275,0.36628682588951844,4.179585302693914e-13,4.001387435586689,14000
\Pi_{15},\frac{\lambda_{4}*W_{4}}{c_{4}},1260199.5362769028,74177.47500958262,3250465.8033562233,10565527938788.219,84.49153092409243,45422870.267943785,14000
\Pi_{16},\frac{\mu_{4}}{\lambda_{4}},0.5254247801627723,0.32481782832237804,0.6396739233590881,0.4091827282256085,0.01790760420446031,6.088154372688081,14000
\Pi_{17},\frac{\chi_{4}}{\lambda_{4}},1.060007887876801,1.060008525907309,0.03503013293596007,0.0012271102135110348,1.0000014214903745,1.1199966137723076,14000
\Pi_{18},\frac{K_{4}}{c_{4}},5.147428571428572,4.5,2.6801613414730334,7.183264816326531,1.5,11.0,14000
\Pi_{19},\frac{L_{4}}{c_{4}},0.31405082879913865,0.03203500849012515,0.7082253858561961,0.5015831971711578,8.125512986695871e-07,4.001387435586689,14000
\Pi_{20},\frac{\lambda_{5}*W_{5}}{c_{5}},328678.91704943276,246254.50663898725,289791.3159927086,83979006824.7859,857.4444349073619,1325761.3860874376,14000
\Pi_{21},\frac{\mu_{5}}{\lambda_{5}},0.3472555288961842,0.2093615415306076,0.42823468601718795,0.18338494630823957,0.011434993432538053,3.7770742736228,14000
\Pi_{22},\frac{\chi_{5}}{\lambda_{5}},1.035035241560575,1.0349803277824579,0.020075684148430726,0.00040303309402755274,1.0000001729040702,1.0699978225828912,14000
\Pi_{23},\frac{K_{5}}{c_{5}},6.517,7.0,2.8611680182351105,8.18628242857143,2.0,11.0,14000
\Pi_{24},\frac{L_{5}}{c_{5}},0.31051390875044294,0.05304199621320683,0.6963194562614374,0.48486078516822395,0.00013586355631119176,4.001387435586689,14000
\Pi_{25},\frac{\lambda_{6}*W_{6}}{c_{6}},71220005.41244958,2054623.3266799706,196643949.74381757,3.866884297084905e+16,2510.4113785453633,3232910072.4444914,14000
\Pi_{26},\frac{\mu_{6}}{\lambda_{6}},0.2100424848582454,0.12705531667549091,0.2598001702325068,0.0674961284528395,0.0069421467249706475,2.3686601690839697,14000
\Pi_{27},\frac{\chi_{6}}{\lambda_{6}},1.040158499765522,1.0403906579006401,0.02327466254228564,0.0005417099164572742,1.0000020237438145,1.0799980543563734,14000
\Pi_{28},\frac{K_{6}}{c_{6}},5.114142857142857,4.5,2.6431258512046156,6.9861142653061234,1.5,11.0,14000
\Pi_{29},\frac{L_{6}}{c_{6}},0.08339921665417878,0.003346053107519181,0.3441651701670775,0.1184496643561334,4.3686887290722996e-08,4.001387435586689,14000
\Pi_{30},\frac{\lambda_{7}*W_{7}}{c_{7}},616249.0280072398,473482.1155383646,531093.3219480418,282060116617.80634,1349.9259384359043,2106883.9835111224,14000
\Pi_{31},\frac{\mu_{7}}{\lambda_{7}},0.18261831394939343,0.11074908849263126,0.22555693996747775,0.050875933167492365,0.0059235969275476495,2.077871958809154,14000
\Pi_{32},\frac{\chi_{7}}{\lambda_{7}},1.0550282373887483,1.0544017710479325,0.03184088030464074,0.0010138416585744583,1.0000009655703568,1.1099994368684725,14000
\Pi_{33},\frac{K_{7}}{c_{7}},6.511071428571428,6.0,2.875938156604249,8.271020280612245,2.0,11.0,14000
\Pi_{34},\frac{L_{7}}{c_{7}},0.13005631959586977,0.013953003353219428,0.42970852106020263,0.1846494130717466,3.956669988899686e-05,4.001387435586689,14000
\Pi_{35},\frac{\lambda_{8}*W_{8}}{c_{8}},195530.58978337323,149513.73464411378,171761.22096121876,29501917026.088615,534.8042273084208,729197.1322075274,14000
\Pi_{36},\frac{\mu_{8}}{\lambda_{8}},0.2868043876699759,0.1773140773912793,0.35124304575056386,0.1233716771881327,0.009626762438730892,3.2662524757446048,14000
\Pi_{37},\frac{\chi_{8}}{\lambda_{8}},1.0199947758363903,1.0199505836017062,0.011524145193385207,0.00013280592243822335,1.0000006206042042,1.039999640146677,14000
\Pi_{38},\frac{K_{8}}{c_{8}},6.458214285714286,6.0,2.8724996003623104,8.251253954081633,2.0,11.0,14000
\Pi_{39},\frac{L_{8}}{c_{8}},0.25349597621216385,0.03636353851966689,0.6335339188169096,0.4013652262915106,9.035034372582375e-05,4.001387435586689,14000
\Pi_{40},\frac{\lambda_{9}*W_{9}}{c_{9}},3033118.792076354,114489.39878313584,8123845.954864117,65996873098362.086,126.40853385035952,134706761.82205123,14000
\Pi_{41},\frac{\mu_{9}}{\lambda_{9}},0.29520724993734826,0.18382155140356926,0.3592303620477129,0.1290464530169309,0.010305469438035782,3.4137853976810453,14000
\Pi_{42},\frac{\chi_{9}}{\lambda_{9}},1.0502044528808672,1.0503686623328639,0.028863162216174045,0.000833082133117177,1.0000006099543195,1.0999919304280903,14000
\Pi_{43},\frac{K_{9}}{c_{9}},5.137928571428572,5.0,2.6619026483295127,7.085725709183674,1.5,11.0,14000
\Pi_{44},\frac{L_{9}}{c_{9}},0.15544953658713956,0.008232277024938617,0.4951730725407207,0.24519637176941783,1.2750650555432177e-07,4.001387435586689,14000
\Pi_{45},\frac{\lambda_{10}*W_{10}}{c_{10}},16733030.16345591,1019731.529529497,45259204.37203745,2048395580389853.5,1883.7440866827124,696552057.9983953,14000
\Pi_{46},\frac{\mu_{10}}{\lambda_{10}},0.6055943927735445,0.36882300898795,0.7346870501650689,0.5397650616802504,0.02029916708507994,6.786750279897961,14000
\Pi_{47},\frac{\chi_{10}}{\lambda_{10}},1.0,1.0,0.0,0.0,1.0,1.0,14000
\Pi_{48},\frac{K_{10}}{c_{10}},5.111821428571429,4.5,2.6575390543235864,7.0625138252551025,1.5,11.0,14000
\Pi_{49},\frac{L_{10}}{c_{10}},0.3626866893669373,0.043942787836588657,0.7538879735582482,0.568347076675762,1.0844274418980382e-06,4.001387435586689,14000
\Pi_{50},\frac{\lambda_{11}*W_{11}}{c_{11}},1153731.595433905,111469.58544922306,2981666.703009054,8890336327832.883,310.7847895035998,43576825.44884267,14000
\Pi_{51},\frac{\mu_{11}}{\lambda_{11}},1.13402201515131,0.6919664108359651,1.3773223640183776,1.8970168944251724,0.03738266442857144,12.584457148152103,14000
\Pi_{52},\frac{\chi_{11}}{\lambda_{11}},1.0049907188762404,1.0049923467076027,0.00288950414208818,8.349234187144748e-06,1.0000019195590548,1.009999682292534,14000
\Pi_{53},\frac{K_{11}}{c_{11}},5.138964285714286,5.0,2.6484617500695817,7.014349641581632,1.5,11.0,14000
\Pi_{54},\frac{L_{11}}{c_{11}},0.6798143371520865,0.18179922642231944,0.9930194321724005,0.9860875926719969,6.728453672938488e-06,4.001387435586689,14000
\Pi_{55},\frac{\lambda_{12}*W_{12}}{c_{12}},24381167.853381556,1111969.7547822539,66378724.05585899,4406135007283873.0,1429.5932131455666,1004047912.2859871,14000
\Pi_{56},\frac{\mu_{12}}{\lambda_{12}},0.40900128438745703,0.2482647707962066,0.49786071788109454,0.2478652944090788,0.013627974276745428,4.590378206964926,14000
\Pi_{57},\frac{\chi_{12}}{\lambda_{12}},1.0,1.0,0.0,0.0,1.0,1.0,14000
\Pi_{58},\frac{K_{12}}{c_{12}},5.123178571428571,4.5,2.659824491438317,7.074666325255102,1.5,11.0,14000
\Pi_{59},\frac{L_{12}}{c_{12}},0.2119647330315054,0.015930115848830327,0.5732743884617277,0.32864352446616796,3.689845117582871e-07,4.001387435586689,14000
\Pi_{60},\frac{\lambda_{13}*W_{13}}{c_{13}},25126459.226451576,1141928.498450229,69885624.66048175,4884000534185736.0,1647.0126468032822,1001002054.8857903,14000
\Pi_{61},\frac{\mu_{13}}{\lambda_{13}},0.4053170462301919,0.24521677557431074,0.5026292567578032,0.2526361697489017,0.013307202344511807,4.324603836637336,14000
\Pi_{62},\frac{\chi_{13}}{\lambda_{13}},1.0,1.0,0.0,0.0,1.0,1.0,14000
\Pi_{63},\frac{K_{13}}{c_{13}},5.112178571428571,4.5,2.6633232939529226,7.093290968112246,1.5,11.0,14000
\Pi_{64},\frac{L_{13}}{c_{13}},0.21576252769881596,0.015593678675958485,0.5817438668188843,0.33842592658138787,2.806316241919108e-07,4.001387435586689,14000
