node,delta_lambda,delta_miu,delta_rho,delta_L,delta_Lq,delta_W,delta_Wq,name,type
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAS 1(1)*,M/M/1/K
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TAS 2(1)+,M/M/1/K
3,0.00507513185391582,0.0,0.005075131853915739,0.00675686804762692,0.011866291897804367,0.0016732442584756146,0.006756868047627322,TAS 3(1)++,M/M/1/K
4,-0.393939393939394,0.0,-0.3939393939393939,-0.5850914205344584,-0.7485402548693687,-0.31540084388185646,-0.5850914205344583,MAS 1,M/M/1/K
5,0.2121212121212121,0.0,0.212121212121212,0.26850165756174993,0.5375777667415165,0.046513867488443716,0.26850165756175104,MAS 2,M/M/1/K
6,0.08036890645586303,4.866666666666666,-0.8158462091268416,-0.9354327870118835,-0.9881097029621237,-0.9402359577341702,-0.9889942250588437,MAS 3->4,M/M/1/K
7,0.2182728870956555,0.0,0.2182728870956555,0.24576459608644946,0.5176812311157891,0.02256613381287148,0.24576459608644707,AS 1,M/M/1/K
8,0.2182728870956555,0.0,0.21827288709565562,0.2652348132532186,0.5414012687959265,0.03854795313513029,0.26523481325321485,AS 2,M/M/1/K
9,-0.44500901810086796,-0.8670886075949367,3.175646435241088,3.8934655136749745,19.43338182815178,7.817198248753432,35.81750243622065,AS 3->4,M/M/1/K
10,0.010101010101010234,0.0,0.01010101010101018,0.016024265316050036,0.026287136682879245,0.005864022662889361,0.016024265316050376,TAS 4(1)+,M/M/1/K
11,-0.030711151923272985,-0.5454545454545454,1.1324354657687998,3.6530176315122587,8.922259820284284,3.8004448217317517,9.236638789326975,DS 3->1,M/M/1/K
12,0.015227405913046272,0.0,0.015227405913046242,0.020273280660229948,0.03580939604707951,0.00497019162189153,0.02027328066023079,TAS 5(1)++,M/M/1/K
13,0.010101010101010464,0.0,0.010101010101010527,0.013360493307586312,0.023596457886451587,0.0032268883745100885,0.01336049330758667,TAS 6(1)*+,M/M/1/K
