node,delta_lambda,delta_miu,delta_rho,delta_L,delta_Lq,delta_W,delta_Wq,name,type
1,0.0011122632819875846,-0.0015496772851425163,0.0026660721185328196,0.0073747291881861065,0.015002057470358978,0.006259211770421004,0.013877298951002337,TAS 1(1)*,M/M/1/K
2,0.0014402934646201,-0.003341919410552584,0.004798248234082758,0.0076831611018203134,0.012651344731134022,0.00623278242387444,0.011190241323277936,TAS 2(1)+,M/M/1/K
3,0.006707004645967979,-0.0024443322963877503,0.009173760661820728,0.009573421924526435,0.010758756192194477,0.0028461646117953314,0.004019015765464837,TAS 3(1)++,M/M/1/K
4,-0.3924173453483211,0.0008166202054120305,-0.392913104773404,-0.5835168947186553,-0.7460145001050161,-0.3144711633326281,-0.5819284978424494,MAS 1,M/M/1/K
5,0.21809770096129713,0.005752619658094933,0.21113052767925056,0.27382552065474125,0.5774505093739932,0.04574418664554475,0.2949973385768827,MAS 2,M/M/1/K
6,0.07941848350745054,4.863043923762052,-0.8158945255155386,-0.9368548320801149,-0.9886477509506131,-0.941500753521747,-0.9894829954991146,MAS 3->4,M/M/1/K
7,0.22608155339805827,-7.462298416448517e-05,0.2261730540904566,0.2536155516012605,0.5231643914164947,0.022456906008325683,0.24230267325617777,AS 1,M/M/1/K
8,0.21801019381664555,-0.002486756209940303,0.2210466391291266,0.27181317189034476,0.56719096543401,0.04417284711313215,0.28668132121555057,AS 2,M/M/1/K
9,-0.44867256637168146,-0.8652859737537075,3.092576318818861,3.7943506885280693,19.602084964546613,7.696013287378358,36.368147688503484,AS 3->4,M/M/1/K
10,0.011856874763467197,0.0016387269102386118,0.010201430494554353,0.019507554891373954,0.035643098173307464,0.007561217600144191,0.023511491237976006,TAS 4(1)+,M/M/1/K
11,-0.029603931447078485,-0.5474432517509978,1.144252786656046,3.7494847538871308,9.307573026495367,3.8943699312066697,9.621965232096501,DS 3->1,M/M/1/K
12,0.017201461280714783,0.0011319704241389292,0.01605132123566886,0.01813485708078018,0.024377018830868846,0.0009051345398455667,0.007018301906554229,TAS 5(1)++,M/M/1/K
13,0.011132626293131498,-0.0028795027908473238,0.014052593566371825,0.020638230298221746,0.04146640025814371,0.00939153080726513,0.02997804856934415,TAS 6(1)*+,M/M/1/K
