node,lambda,miu,rho,L,Lq,W,Wq
1,345.0,900.0,0.38333333333333336,0.6216216216216216,0.2382882882882883,0.0018018018018018018,0.0006906906906906907
2,258.75,700.0,0.36964285714285716,0.5864022662889519,0.2167594091460947,0.00226628895184136,0.0008377175232699313
3,173.34525000000002,700.0,0.24763607142857147,0.3291439980366645,0.08150792660809303,0.0018987771400523778,0.00047020571148094926
4,97.03125,180.0,0.5390625,1.1694915254237288,0.6304290254237288,0.012052730696798493,0.0064971751412429375
5,91.8145161290323,530.0,0.17323493609251378,0.20953344989417516,0.036298513801661325,0.002282138584705991,0.0003953461318758017
6,104.1310975609756,150.0,0.6942073170731707,2.2701894317048854,1.5759821146317146,0.021801262878032572,0.015134596211365902
7,64.27408146067417,700.0,0.09182011637239167,0.10110344660534426,0.009283330232952636,0.0015730049237219204,0.0001444334951504924
8,59.58742968750001,410.0,0.14533519435975611,0.17004934964050972,0.024714155280753658,0.0028537789015622185,0.00041475451131831726
9,69.76089329268294,1580.0,0.044152464109293,0.046191952640385794,0.0020394885310928285,0.0006621468054685986,2.9235413063535782e-05
10,256.1625,700.0,0.3659464285714286,0.5771538006590251,0.21120737208759643,0.0022530768580843216,0.0008245054295128928
11,177.96552631578948,550.0,0.3235736842105263,0.4783576224897098,0.15478393827918346,0.0026879229499812904,0.000869741131799472
12,171.61179750000002,700.0,0.24515971071428574,0.3247835524866777,0.0796238417723919,0.0018925479321238252,0.00046397650355239645
13,169.06724999999997,700.0,0.2415246428571428,0.3184343968233264,0.0769097539661836,0.0018834777097476091,0.0004549062811761806
