\Pi_{0}=\lambda_{1}*W_{1},\Pi_{1}=\frac{\chi_{1}}{\lambda_{1}},\Pi_{2}=\frac{\mu_{1}}{\lambda_{1}},\Pi_{3}=\frac{c_{1}}{K_{1}},\Pi_{4}=\frac{L_{1}}{K_{1}},\Pi_{5}=\lambda_{2}*W_{2},\Pi_{6}=\frac{\chi_{2}}{\lambda_{2}},\Pi_{7}=\frac{\mu_{2}}{\lambda_{2}},\Pi_{8}=\frac{c_{2}}{K_{2}},\Pi_{9}=\frac{L_{2}}{K_{2}},\Pi_{10}=\lambda_{3}*W_{3},\Pi_{11}=\frac{\chi_{3}}{\lambda_{3}},\Pi_{12}=\frac{\mu_{3}}{\lambda_{3}},\Pi_{13}=\frac{c_{3}}{K_{3}},\Pi_{14}=\frac{L_{3}}{K_{3}},\Pi_{15}=\lambda_{4}*W_{4},\Pi_{16}=\frac{\chi_{4}}{\lambda_{4}},\Pi_{17}=\frac{\mu_{4}}{\lambda_{4}},\Pi_{18}=\frac{c_{4}}{K_{4}},\Pi_{19}=\frac{L_{4}}{K_{4}},\Pi_{20}=\lambda_{5}*W_{5},\Pi_{21}=\frac{\chi_{5}}{\lambda_{5}},\Pi_{22}=\frac{\mu_{5}}{\lambda_{5}},\Pi_{23}=\frac{c_{5}}{K_{5}},\Pi_{24}=\frac{L_{5}}{K_{5}},\Pi_{25}=\lambda_{6}*W_{6},\Pi_{26}=\frac{\chi_{6}}{\lambda_{6}},\Pi_{27}=\frac{\mu_{6}}{\lambda_{6}},\Pi_{28}=\frac{c_{6}}{K_{6}},\Pi_{29}=\frac{L_{6}}{K_{6}},\Pi_{30}=\lambda_{7}*W_{7},\Pi_{31}=\frac{\chi_{7}}{\lambda_{7}},\Pi_{32}=\frac{\mu_{7}}{\lambda_{7}},\Pi_{33}=\frac{c_{7}}{K_{7}},\Pi_{34}=\frac{L_{7}}{K_{7}},\Pi_{35}=\lambda_{8}*W_{8},\Pi_{36}=\frac{\chi_{8}}{\lambda_{8}},\Pi_{37}=\frac{\mu_{8}}{\lambda_{8}},\Pi_{38}=\frac{c_{8}}{K_{8}},\Pi_{39}=\frac{L_{8}}{K_{8}},\Pi_{40}=\lambda_{9}*W_{9},\Pi_{41}=\frac{\chi_{9}}{\lambda_{9}},\Pi_{42}=\frac{\mu_{9}}{\lambda_{9}},\Pi_{43}=\frac{c_{9}}{K_{9}},\Pi_{44}=\frac{L_{9}}{K_{9}},\Pi_{45}=\lambda_{10}*W_{10},\Pi_{46}=\frac{\chi_{10}}{\lambda_{10}},\Pi_{47}=\frac{\mu_{10}}{\lambda_{10}},\Pi_{48}=\frac{c_{10}}{K_{10}},\Pi_{49}=\frac{L_{10}}{K_{10}},\Pi_{50}=\lambda_{11}*W_{11},\Pi_{51}=\frac{\chi_{11}}{\lambda_{11}},\Pi_{52}=\frac{\mu_{11}}{\lambda_{11}},\Pi_{53}=\frac{c_{11}}{K_{11}},\Pi_{54}=\frac{L_{11}}{K_{11}},\Pi_{55}=\lambda_{12}*W_{12},\Pi_{56}=\frac{\chi_{12}}{\lambda_{12}},\Pi_{57}=\frac{\mu_{12}}{\lambda_{12}},\Pi_{58}=\frac{c_{12}}{K_{12}},\Pi_{59}=\frac{L_{12}}{K_{12}},\Pi_{60}=\lambda_{13}*W_{13},\Pi_{61}=\frac{\chi_{13}}{\lambda_{13}},\Pi_{62}=\frac{\mu_{13}}{\lambda_{13}},\Pi_{63}=\frac{c_{13}}{K_{13}},\Pi_{64}=\frac{L_{13}}{K_{13}}
1.0184035642955106e-08,0.8168797975126268,0.2836872881555974,2584948.001542312,2925405.1821819865,4.778586601045071e-07,0.7076878896830419,3.036340363151143,2998102.0733323446,2651808.1013909844,4.0891886234382326e-07,0.6670382453193884,0.20963977606717452,3992816.084683557,5583067.068609445,3.2375546518738973e-07,11.22451805407976,0.2470177498914736,2326900.7325181603,2356282.4423126164,2.667076356311235e-07,0.05561989884693574,1.2214217382118362,2831374.28605238,8545072.382442815,1.5175388523479439e-07,2.748125270213714,2.0187331865742353,3203633.130177448,10546801.51233594,5.388712383081168e-07,0.08786860049784476,0.6192933582473432,2629776.4199205623,4011351.0496553048,2.264243321166433e-07,2.5837843043871724,2.35124549229448,11511364.03512096,2217168.215778064,5.164000141478852e-07,0.4578814540495112,8.573264077612153,8091512.880830839,6848360.416412227,4.5136960124526234e-07,0.4463905391824747,0.6451024979630202,4042442.054851207,425619405.3324705,6.082454384399771e-07,0.07793160678320972,8.100996450770806,8347249.464572347,3003970.2977886037,2.3850843424027913e-07,0.9754905042476484,0.16636916533523538,4168027.980304552,13966711.211506678,1.0489568237135072e-08,0.7891982370312133,1.4178003862981332,4554504.032569483,2930510.562984578
1.0251114418170747e-06,0.3477075009322144,3.3082520637562323,6364364.138061295,16136191.814319348,9.799390785078905e-09,0.14877083201738128,1.1203715741401383,2706696.428342736,4320144.920507846,7.27116800031404e-08,5.009387736912546,6.04499020324686,3829275.804940098,2877172.6104892697,1.6892054882630593e-07,19.002336335957022,2.2188891119255403,2872353.4612790323,54615436.3586601,1.3818258876953168e-07,0.044984761507935116,8.426757999295209,5576354.76006963,10346182.420746671,1.3106931065460612e-06,0.7626314039562644,1.8686700170612383,6452203.514972737,4093710.692075149,1.009284272683493e-08,0.00996848642072047,0.5557818933169208,2801359.3707059957,2870716.1403961615,2.3418319875435214e-07,2.6497136885923585,0.24242011041460448,5151441.084458958,2561563.5336855585,1.0762498298175742e-07,3.0921977769393467,1.0799668260342001,2737293.891419991,7384033.446378784,1.0618000903697094e-07,0.7140031056609595,0.1713036874506522,5150580.868561452,7348491.202044148,5.36842700951578e-07,1.1229066544863195,3.735458434245256,2288573.8962684474,6351994.024131732,7.876256632997835e-08,43.470019031931606,0.25066483847188253,2475089.8383648056,9209235.930805497,7.429735074602063e-08,0.20088219688524084,3.276957209641017,2802794.1466260524,16534335.917317733
8.94609286141599e-07,3.5853119119587085,4.125942193311773,5638205.453221281,19889071.288302142,2.9392314475532437e-07,2.148355425338543,0.16424880732774594,2713415.3441664535,5140811.753739721,5.619117690623123e-08,0.26107113051114794,7.339689550639975,6779343.2049686005,11668511.730215872,1.362778674737765e-07,3.5120894722954756,1.386575338615892,5255973.820576375,2597239.4692088948,1.6236657271711437e-07,0.8563095883396707,0.2922802815512377,6552569.827476541,2869921.2743407926,4.7506748960908035e-07,8.051272873559245,0.8720355677218508,15645220.503964841,2807896.7141667665,1.428916302430814e-06,1.7296289741408644,0.6742345501357067,4973002.195888919,3747870.280224485,1.4627837373057466e-07,1.07563149687462,0.7814798334020306,4419738.828207572,8618705.001758043,2.656135541484629e-08,4.301883952014491,3.5382855651198044,9109457.017752137,6688747.7657683855,1.031913288955254e-08,1.3195471826507124,0.14255920484133963,10366264.530682638,15240534.085326469,1.3385250457881658e-07,3.2818287623412115,21.99623914257622,8816023.467063077,3241126.7626358727,5.081704435177523e-09,0.3913793139757708,2.736775112379188,2343062.863726351,2749070.2187637035,3.351851868650822e-07,0.23684199087379657,3.3156160224054148,2630371.8405225887,2869031.6999187777
3.512007064196558e-08,3.141765091142417,1.6379207275816348,2594727.0224495996,19787638.983976964,7.163256403951738e-07,1.4670264289871573,0.6788062363501572,10101330.39919211,3653736.884102081,4.8442206675274357e-08,4.710144289839678,0.3892312572584342,4313720.797582876,5602215.674614477,1.0540109911461066e-08,0.25328157143785407,2.406391206874308,4508206.989584526,10832993.610291123,3.8866671572724983e-07,0.16316065836351315,0.7595132356469374,3824954.2396351313,91960751.26621988,1.923972225208808e-07,1.146548079214729,0.9148352396805142,24184034.193922415,41421196.59806754,9.084925945796051e-08,1.2133562614193933,0.11357625015018961,6980624.246183278,63738546.87758142,3.1314841457667426e-07,1.5084340651249981,21.984788905249253,3582236.634589574,2222644.3869731408,1.224868828543097e-07,0.5783957948084727,4.008988529601077,56741261.0962935,9404966.912930762,8.168732041583009e-08,0.040137375032683296,5.234563979975832,87374016.55390294,9310471.943927756,3.444792792520549e-07,0.3421473155976727,0.403755169334855,18091463.350635488,3344086.0539539014,1.0655188374090424e-06,17.5840258428152,3.825046331250728,6205914.745690787,2774174.465443567,2.7531254358210487e-07,0.20795870648609918,3.6313162145838693,3121008.280152801,3880963.912421938
5.294189149658928e-08,22.500677799498018,0.015321579257588957,2895915.1439940785,3166074.6801746753,5.013969316084026e-08,2.9516197153661556,0.34905301294366137,2444803.044566972,5308032.860070902,2.961303221535811e-08,2.521963388018377,0.5580001447327181,2936350.8910395447,221227947.71950653,2.011324063160475e-07,0.8953236881442442,7.302595977431359,4014462.048745407,47380002.696395025,5.866065984361026e-09,1.3710489582422944,2.2597129131520157,4742050.638548502,21549475.270522468,1.7521573636989558e-07,2.244307726319705,0.01485239722904828,3688082.373673016,11453222.224198826,8.186484537252273e-07,0.2280385050388552,0.45229285670779296,12517677.77037419,3089514.309523386,3.07711998691078e-07,0.22652845280068476,0.5331859244284164,9263964.17521658,2288662.7463458353,6.075163491263638e-07,0.446878051994839,1.4408138193275515,3656206.5654766527,2687162.01504379,2.1722801259792065e-07,0.4405466710951837,1.1107624789887283,2768751.6852515885,2670630.837402664,4.604217268727221e-08,0.47533044859056456,1.2295256529236231,2396656.1215996416,2362716.3777052523,4.301554000387924e-08,2.3387939591406655,4.961608048505881,3671865.25675809,4948958.868257385,8.685955964218461e-08,3.2119746607364656,1.4823013769536952,2232013.663741341,10076920.581630273
8.769146185355736e-07,0.12529519586332807,1.6220205355241823,2443125.8160863393,3879600.7216027956,9.108200090254706e-07,9.846852081921243,4.737717315369189,2214202.748016881,3066036.192830082,2.6743150239280953e-08,0.6280101237818512,0.9419106315820213,57929773.51306583,2859454.6046878323,4.3182535343100545e-10,0.1635402333331118,1.2279676122486771,4345227.552424719,3408477.9648796944,1.2715403620395946e-08,0.04157447406451115,4.100887555284773,2292364.4304371164,3199513.730947731,2.676555118576725e-07,5.164941661832415,0.2700203605216912,2751375.961471336,3885916.017635427,1.319801569497655e-07,0.38262217879699884,0.6154548877552777,2296661.262534414,2444450.035572381,1.6573018375512317e-07,2.2539451560195713,0.6251551727356255,3799273.0240089386,3663570.5572346193,1.124224326450108e-06,0.10565830668638396,1.92391139067972,46148094.12226231,14232943.10919651,2.571112070331693e-07,0.44654398441509974,1.5245835055875898,2391078.250981144,2768637.537896566,2.3475575262482483e-07,0.2998533023201243,0.002524251807461645,2581080.2465116256,43170564.14320024,6.729295230643725e-08,90.88552328633067,0.2116271243787448,2684584.142644031,4238223.51586163,5.466414172176139e-07,0.03439811642201702,0.8058462613221851,4109112.3231024314,2455643.48669909
1.236435772494257e-07,3.146145760602624,0.22761125004734978,9042704.10235613,3436739.6265559294,2.516214655968717e-07,1.2616077149880125,4.500597445990264,6353515.904208176,2850179.931888324,1.0521457844537981e-07,1.70607167192057,0.23268213041305724,10988719.522607738,6658617.924020863,6.75117865290399e-07,0.4489716577833375,0.31977013009150135,33597443.59443965,7729440.7574750725,9.251549404587694e-08,0.27984200798184955,0.23481814006869464,3125174.9573035934,5214660.016246931,4.458765028182035e-09,0.541823789677447,13.704434042173023,2202447.6819426757,4187834.716448519,1.7002337541851498e-07,0.8018221071042012,2.0224129524586933,4920520.947250717,9548354.397958172,2.1911855351563606e-07,8.283340549149043,2.629569162426828,27644005.05536609,2404020.8117100643,4.4674517139999e-07,0.6964844905783565,3.77736991595849,748172596.7024411,13365632.926581327,3.0994504390533196e-07,0.6859717365167097,0.7774587172987608,2841931.3925077734,32200858.69821416,1.9662532593516846e-07,2.288881057551843,1.4031435083107098,3310869.161388951,2521317.861085091,3.0648754645827466e-07,0.14615247553338795,0.03548945578478174,4707515.779105248,4041412.638062543,4.9486853418531534e-08,1.3605253520630023,0.36931835524197854,3629057.7418099837,3394588.187590335
1.7903235791522107e-07,2.0095839620093363,0.17623346924196695,2215062.664933661,4654715.941040033,1.1005197137257209e-07,0.333653384249394,11.037537414722374,6914527.570507567,2951230.6359593123,4.7292878197049357e-07,1.4613935292966893,8.3118657327441,2565552.1842171475,3891403.553466648,7.660932296061701e-07,1.0557997508607926,3.3222784380148234,36137730.397620834,5299761.145705111,3.6925701612125106e-07,0.18757709545649645,0.3368082341135492,21315712.073283356,8643749.225422412,9.935904561467375e-07,0.8253671274953699,2.643502607290348,2372650.28742869,2562952.612003368,1.0696940817488262e-08,1.235115545209839,0.34257479263367446,2632201.930440814,3197660.738492656,5.804814339147763e-07,1.1485337300212863,1.0637689829210863,4825028.60453751,7054876.327722044,1.2557886116344794e-07,1.6204414722986114,0.16623782392501804,6265236.494436397,3283052.9986190572,1.7341562263651305e-07,0.053142090767397045,1.6572227463514915,5025467.951466773,3593452.4114052877,9.290101066511672e-08,0.29342023514751386,0.5118096847447046,2766922.8066702997,5059262.0750779845,5.349502079812265e-07,66.16302815191048,1.8493249307729398,4951534.422375004,2736346.8677701424,3.8772542931975815e-07,1.7649262258826366,1.1893347705701385,3499765.8349689445,3032813.072229659
3.977736241428698e-08,1.1579177714311104,1.8471614772401264,11400810.420248894,3963278.917331082,2.796654869435389e-08,1.1303548652278412,0.052387462781340766,14625649.5035369,2492241.8867066605,1.173284303525537e-07,1.4080855442984532,6.199428483563641,13085554.368583083,27348203.431492783,1.5083394492583035e-07,0.9614001301004645,2740.634112036124,7598522.270784664,3655138.509810378,2.2244505891055812e-06,21.68337053813809,4.415209471516074,23818860.30348982,2840894.2883089813,3.1012467743184874e-07,1.5996384431192632,0.09286658168074154,3629111.381020322,11352398.536058862,1.1248327237688921e-07,0.38317453236263016,1.3303072112600591,4965192.464769963,35694287.001346305,1.253230556826218e-07,1.2438627755725837,0.9112914817300536,3501842.5187053625,2653249.064002952,6.687790410571142e-07,24.60999085476329,0.6653200349431916,61132656.23938198,64057006.455937676,1.239605733951172e-07,4.835089116557208,0.8928567119464655,12840836.5214311,3875644.6713781944,8.328275235894606e-07,0.8029102688671375,7.173120389923529,2612223.813478167,4828014.641761012,3.652463480123636e-07,0.08732117237758491,0.03637755014286755,8636969.268912816,3957671.4473853535,6.736181842370481e-07,0.5651991289573102,0.4446441515064088,3613033.503554375,16555704.365417518
2.850299707210484e-07,0.12073513907704811,3.847258523854776,7115473.993903468,3005449.079421519,5.2623517543165234e-08,1.2736792394975798,1.0114109331327958,5026529.096525551,6002651.962992259,5.8258027988338626e-08,2.743511570864944,1.0323499258702729,38087401.38304104,2289683.7172682993,1.722261371618177e-06,3.8960092663947075,1.898772948864124,4500896.687207658,4724226.43471031,1.5227376817857061e-06,14.126887352060116,7.96955404154427,3884812.6525722076,6353457.561159669,8.992702816346115e-07,8.305917895219272,0.6819447455380613,3515881.23624107,2459576.931750832,1.8243807886572217e-07,2.6849071099815087,0.9627001064136845,5022641.051096494,5269551.959700225,5.5985722805876576e-08,3.1565885605300865,0.6771644151677577,6480430.010835317,5502863.681199108,1.2697789387815483e-06,2.014371404025184,9.618183206830906,11991553.875169836,5334799.492365385,1.5280124749206754e-09,25.888795936127245,0.44811001621430485,7816417.237096763,2684764.838214199,5.38872296064761e-08,0.4227485371225948,0.7254648335221588,3508922.9104017206,4713395.425052663,1.591029202233908e-07,4.447575807561954,0.9762167451610052,2999475.920588948,7491999.742490076,2.4753151056963408e-08,0.04309749010003153,1.2602916103768413,16065328.83281445,8395287.819266407
