\Pi_{0}=\lambda_{1}*W_{1},\Pi_{1}=\frac{\chi_{1}}{\lambda_{1}},\Pi_{2}=\frac{\mu_{1}}{\lambda_{1}},\Pi_{3}=\frac{c_{1}}{K_{1}},\Pi_{4}=\frac{L_{1}}{K_{1}},\Pi_{5}=\lambda_{2}*W_{2},\Pi_{6}=\frac{\chi_{2}}{\lambda_{2}},\Pi_{7}=\frac{\mu_{2}}{\lambda_{2}},\Pi_{8}=\frac{c_{2}}{K_{2}},\Pi_{9}=\frac{L_{2}}{K_{2}},\Pi_{10}=\lambda_{3}*W_{3},\Pi_{11}=\frac{\chi_{3}}{\lambda_{3}},\Pi_{12}=\frac{\mu_{3}}{\lambda_{3}},\Pi_{13}=\frac{c_{3}}{K_{3}},\Pi_{14}=\frac{L_{3}}{K_{3}},\Pi_{15}=\lambda_{4}*W_{4},\Pi_{16}=\frac{\chi_{4}}{\lambda_{4}},\Pi_{17}=\frac{\mu_{4}}{\lambda_{4}},\Pi_{18}=\frac{c_{4}}{K_{4}},\Pi_{19}=\frac{L_{4}}{K_{4}},\Pi_{20}=\lambda_{5}*W_{5},\Pi_{21}=\frac{\chi_{5}}{\lambda_{5}},\Pi_{22}=\frac{\mu_{5}}{\lambda_{5}},\Pi_{23}=\frac{c_{5}}{K_{5}},\Pi_{24}=\frac{L_{5}}{K_{5}},\Pi_{25}=\lambda_{6}*W_{6},\Pi_{26}=\frac{\chi_{6}}{\lambda_{6}},\Pi_{27}=\frac{\mu_{6}}{\lambda_{6}},\Pi_{28}=\frac{c_{6}}{K_{6}},\Pi_{29}=\frac{L_{6}}{K_{6}},\Pi_{30}=\lambda_{7}*W_{7},\Pi_{31}=\frac{\chi_{7}}{\lambda_{7}},\Pi_{32}=\frac{\mu_{7}}{\lambda_{7}},\Pi_{33}=\frac{c_{7}}{K_{7}},\Pi_{34}=\frac{L_{7}}{K_{7}},\Pi_{35}=\lambda_{8}*W_{8},\Pi_{36}=\frac{\chi_{8}}{\lambda_{8}},\Pi_{37}=\frac{\mu_{8}}{\lambda_{8}},\Pi_{38}=\frac{c_{8}}{K_{8}},\Pi_{39}=\frac{L_{8}}{K_{8}},\Pi_{40}=\lambda_{9}*W_{9},\Pi_{41}=\frac{\chi_{9}}{\lambda_{9}},\Pi_{42}=\frac{\mu_{9}}{\lambda_{9}},\Pi_{43}=\frac{c_{9}}{K_{9}},\Pi_{44}=\frac{L_{9}}{K_{9}},\Pi_{45}=\lambda_{10}*W_{10},\Pi_{46}=\frac{\chi_{10}}{\lambda_{10}},\Pi_{47}=\frac{\mu_{10}}{\lambda_{10}},\Pi_{48}=\frac{c_{10}}{K_{10}},\Pi_{49}=\frac{L_{10}}{K_{10}},\Pi_{50}=\lambda_{11}*W_{11},\Pi_{51}=\frac{\chi_{11}}{\lambda_{11}},\Pi_{52}=\frac{\mu_{11}}{\lambda_{11}},\Pi_{53}=\frac{c_{11}}{K_{11}},\Pi_{54}=\frac{L_{11}}{K_{11}},\Pi_{55}=\lambda_{12}*W_{12},\Pi_{56}=\frac{\chi_{12}}{\lambda_{12}},\Pi_{57}=\frac{\mu_{12}}{\lambda_{12}},\Pi_{58}=\frac{c_{12}}{K_{12}},\Pi_{59}=\frac{L_{12}}{K_{12}},\Pi_{60}=\lambda_{13}*W_{13},\Pi_{61}=\frac{\chi_{13}}{\lambda_{13}},\Pi_{62}=\frac{\mu_{13}}{\lambda_{13}},\Pi_{63}=\frac{c_{13}}{K_{13}},\Pi_{64}=\frac{L_{13}}{K_{13}}
2100962.819487466,0.8126370344721625,0.5166012857550036,3.775464121133924,2.229279752316564,3064738.782265139,5.299742010688528,3.48328733589824,6.2813782143508154,1.3614634298668542,1898492.0190148135,0.7632187399009209,11.385751009537591,1.574120095949928,2.6111084489657688,620760.2921837581,0.737154773291109,0.12897990202381693,2.9080650118103115,6.666050291166502,18121169.438794505,0.37356805755377803,0.07122638094674633,2.106114787970424,6.32572911770538,386840.4566130796,4.253666661379312,4.623676133025164,3.288021236131126,2.2571454111543545,842300.4054317253,0.058739034693439426,1.2520512411870244,1.1809244730311612,4.734760242254484,398950.70499544154,4.778282893492386,0.4018602297131835,2.4388082767442825,4.697698051467823,2117548.3088686303,1.2215925946263007,1.0344871478643871,1.1361072521987814,4.486800012803706,1686222.098660824,0.29193987665283916,1.8257685198182658,1.2681989876690212,3.1528783725536917,433470.0075354494,0.5085372860867562,8.245356166180004,1.1314288647442388,12730.026934016498,755738.2672693828,0.3095636440932234,0.9430494916355908,1.2784338756698264,3.8924434281352296,765355.4079087354,86.42082147246622,30.964216228354232,1.896262357550247,1.7474764003138736
21124617.014847774,0.9441969142692548,0.602548881105373,11.848664413566395,2.6129848679301406,809710.6243417963,1.0278823102838668,0.8052223537108577,8.152469041264245,1.551324010309056,763091.447218331,0.061840926788971046,0.14310082351554146,6.193766604664086,1.4445065225668148,149185.22243513496,5.070008619159541,5.105666104528877,1.0006738641966455,1.0898025752459108,7353073.81830019,0.0023941777713194423,5.052180224987224,1.0365831638709373,1.2793800981107133,1045840.1384477478,1.6685058946700346,0.6278289431311804,2.8737866556902674,1.2660301108855108,46377939.16563233,0.7442663182635196,1.2801558275902705,1.285528087481645,1.404164364350734,1874855.4216189142,1.3230658958470267,2.610472108419887,2.4099162468327653,4.839397717153965,6623256.93917981,1.5378033567161151,0.16840778065709988,1.0976148395884828,2.2802881495344063,989930.5664032223,0.12497359542017099,3.3932223335573997,1.056419638917067,3.784008000836857,847306.725546611,0.9576471577569877,41.840219555357656,1.4573638585008726,8.299516139829523,4486339.598402461,0.40885492978129623,6.833529450002515,1.0362123571766715,4.866578893984288,596725.153628443,0.06360506798875272,0.4328319608253327,1.3518042045836123,1.694122827272379
252529.57947959955,1.7001811523258354,0.03423766249342954,1.7366935331599604,1.215495096249875,7984005.958892952,12.15814874728253,0.47597510516563474,41.40482599357561,6.540261529093837,4112434.1789751477,3.537492902936403,2.009569542154382,1.3869162258630732,2.5414712604395158,2492.870826864019,2.1373827443558135,0.0705858314713172,1.4769280232446438,5.30101460211951,658368.0437583106,1.080994753003389,0.8360416590220348,4.821361770137082,4.704392589852688,5003936.510914775,0.48231631837574407,0.2231010442276232,1.161764989503414,1.3365935357183458,763867.3541799969,0.5214697322874117,8.318460871665739,1.356038401151129,2.7932769499715633,631419.6478982788,0.9772945209457412,0.04848828260047421,43.18698617849929,1.1529194223566936,5967231.508149266,1.5239150380386317,2.376505588028795,2.033201785700084,8.571165791483406,3902632.5007991274,161.5419272050415,1.0625919592836781,2.3233837267881405,4.65237497956751,1104975.0105021838,0.9231181063563197,7.543997280471588,2.216395482264795,1.252325934154223,412230.4379228361,2.6776789665281457,0.05315454840989746,8.746166929740705,1.1825160981404457,111662.06721414835,0.10177337131584802,0.6356180719401116,14.732341306604804,5.088659941976838
7148935.957615492,1.784327276574375,0.5097880696325048,1.2969058480863624,1.7451256743455066,33826613.25936799,0.4493045174681989,47.829644219988445,86.7483094270969,3.8336428737148625,288202.6477688107,2.7951930398938067,3.407930109377388,4.532051421898419,1.28345273807583,938026.4172118878,5.115233436997515,3.519665102207628,3.042484921327327,1.0168503610860309,7519849.126747359,0.242993511801681,0.42321016790689625,8.192731522825946,1.6665396031795277,10591407.76113386,27.601253560625896,3.293570556966052,1.9996192531042953,1.0033428985996995,37579116.25130755,466.50026080866803,0.41300744446487925,1.952807082374144,1.24049561308165,28865978.11707857,2.137664909436455,0.07440392033886166,5.267398169435021,13.106528024625971,7293529.428542638,2.715934686764733,4.38132858666063,2.9690436488813785,1.1167002642161807,1942498.5789161772,2.4740760760641867,2.1581119164990863,2.680135792318865,1.1216116475538658,1213477.0287161167,0.7576578919393143,0.08155741644061794,1.5375297690936995,1.8252942878261929,253342.91261688177,1.6194495937816469,0.38639070663223185,7.204702303130395,1.0091049981728164,57849.382243890606,0.27758979585754223,1.2463570359694505,1.2899150748323513,5.8579372249153
12593803.746437052,2.0315417297232647,7.025429942090685,1.082685811198707,1.0546860275365788,9325852.846223239,1.526577122965418,2.6612014758887885,102.379476902498,3.7446771272944126,1039632.2657221057,0.3578189515742909,5.6460584908795886,1.365679837469228,5.239474492511817,6380818.32097189,73.18016179966986,4.571509901073645,1.5988519775608034,2.289417917509494,1420051.6432135631,1.5317744100740405,5.685106428664223,3.2467092540768,1.2551747627136134,1490223.6768187156,1.2246084277889333,0.04168738944381876,6.10585317413729,1.2601317220514483,553051.591826821,2.3926405692507107,6.485843637718904,9.997644870865974,1.1413514886382732,9287773.607652983,6.977290502076352,0.21263309586506035,1.251327334719066,6.272078204965016,77679.81979583333,4.502025864485254,0.3036016759581526,11.075822777537438,2.026012987256642,2152771.708993789,15.698502889791103,0.4914715610547822,2.204867724809635,29.052262597378157,2939540.481819236,0.11108840620867913,0.30437804075433117,1.0278416086648412,3.1624597417565847,2005242.492682325,1.9822104470885102,0.6409619984040604,1545.172590174423,1.0400110267401104,2611745.1519569647,1.7747693769211772,0.9135531152213662,21.51410728384902,2.508018060948835
7440867.797618981,0.6682023390710001,1.243350594889731,1.922638152634805,1.6196774343670088,1443604.9794936732,0.90166168122958,3.692889113023385,1.6421297728384197,2.4026065937103644,1187098.8542733376,0.027173065487726984,3.1457970284842744,1.8438290366107624,5.779051866715014,787708.6272042405,0.7573868475919826,0.04817594549384983,1.0953898530568236,6.871903428841091,5391152.893463406,0.07020670234209977,0.06829699728083975,1.0214261278817087,2.110486117132437,6487506.176029483,0.37006031776744064,6.88019364938553,5.767168060833735,1.1927804542134444,4926966.379301341,0.4520726734573438,0.8314325500234198,2.022531248236108,1.5233317862976614,5569403.277989158,13.565937033534707,0.9894108482787204,1.084562999414706,2.592146762140113,38970.29514298668,0.8265300663362717,1.4757861865126929,1.3658558160901257,2.0142037655711578,1203637.7584051697,0.9054177028349454,0.33662540884349307,1.0293333858863787,1.4242965287193512,31840605.248078827,0.30681724369642555,8.249127875334592,17.728822333825097,1.2041223397397889,4228.128793642331,0.45002618273073663,16.225972346828943,2.3537191140619496,28.86935224858124,360714.61445770203,0.12640481742235365,0.08039453823357827,1.4339383910047008,1.3129801346319934
1773513.5821132797,0.8441030304958862,0.1408742884690521,1.1587520605347625,1.046701950293872,813065.4936543397,46.73023384929777,0.46770443096671477,3.626296392567695,12.91883627806704,2018667.894210913,13.934183210031426,3.045516964353307,9.396854365563376,7.62623917387513,263424.2027007111,0.17493655639813813,0.058869400384542823,6.12163271521746,17.817783229494054,2117556.5264456943,4.347446912064226,3.404149478230009,1.8048131223456048,18.24748207183213,1782778.7835539267,0.3801814563031145,4.246444111893138,8.930919155505695,16.589847725402645,1730167.9313810202,0.6732673211732391,0.09818745396126706,123.33217159420256,2.8386933408467168,2569264.214226723,0.16790373348665547,0.9555839294074924,2.5354032889626126,1.4798503663724414,55882268.853350304,5.400163632981567,0.30637925750870326,1.7799914558420113,2.1716728933160656,1363053.192682339,0.7648713357427535,2.010288586916819,13.353575758995502,116.49459821319715,4597138.826830535,0.4453842825617114,0.4362435185986656,1.4260771191206962,1.4187756778152292,10154.203393737826,1.4921545628097161,0.7573325826830647,1.2887067240971017,1.1977699116278786,2757691.6321172663,0.5788659267433908,1.6021488316085335,14.56062619336764,1.914466648718689
37724.541677227026,8.006706772178438,0.7796551804386586,1.0739045510159306,1.6678079236768306,22427360.447314143,0.503599619231113,12.600312019208603,1.620498632431624,1.2367989180681156,2563831.9799871026,3.261355521122751,0.7681984104932934,4.527030336235347,8.639191243136473,740807.0342275405,1.0189183624819564,3.2772222668498188,2.055523077253955,1.4572524574296124,8947858.018324919,0.5788183662220637,0.2601879228749815,1.719800070326495,1.2342559630785699,1245615.8881453176,6.921350109894976,0.28851974804024316,2.4637387617438633,2.2005147515110015,49805.72303714569,1.28237589508902,0.21187768966637635,103.62877613780688,2.4745494960566283,21387992.154881846,2.0146543865197484,488.41844380914165,1.4142861078248676,1.0645826221420254,6845401.77063833,5.98357818160114,0.4003157983493324,8.127708030631604,1.2440889336491043,105732.90129596328,2.3073121389830273,12.842791984047814,2.1444030080850225,1.4991299435910086,2546955.811958272,5.231577884716403,0.19073069746470342,2.1850915788327976,1.0344959148994426,557356.2406498701,7.137770752237573,0.14436094400334026,1.4350569695133222,3.950334254904753,603086.226716568,4.905772249660679,0.011372108519043262,2.9888358795220045,1.1681400914462035
1331661.8338211635,2.1839912559485968,6.343632593087301,4.457047333876069,7.5358475822581275,37752.16330862127,0.09662895803368358,0.05635851905387411,1.5298479865373706,2.25948497396285,41339.941452775885,0.12796191454669495,2.2284565757055965,1.018457762185246,4.26366609279618,12013698.325708978,20.43571415066887,3.3138673230830293,7.781573109519292,3.832007731003872,3588241.596133129,1.6239669457677215,0.015861507145817303,2.6675305741967867,16.120488477775083,1605343.0147068056,0.4454777914201935,0.4071398250679146,1.5676327528492398,1.1168089536218715,10225501.58254244,1.2319185734032967,1.0063556230883537,1.698805129307877,6.157527201938697,338856.07295670063,5.065444600261454,1.1518558461254542,1.3941583773231057,6.612663527279888,5246746.65867225,5.699951281810017,1.8333430214538535,2.8206023923355064,5.166703139845299,143213.45102752768,2.5770474482938344,2.781450788981223,2.598267662276399,1.1854388466092873,2496226.4913404635,0.07281565946497462,27.036049231910706,3.6290598071347224,6.2084191178573445,1431977.3710258154,0.5341614522730272,2.668990641152431,1.0852122057117706,1.148049612373475,8857061.997021329,0.14403633609984157,0.31214229452369663,1.4238196443704894,1.459102039763221
3809591.1110910885,2.1432231222249296,0.004111504496144512,12.967909794162688,2.154320106347757,2857012.8294101763,1.0759660569434486,0.173753073104211,1.979039983063065,1.324440985331822,413312.40374616865,0.053360248990210336,0.6791302646243299,1.34793710942653,1.6394665098242407,11208273.93392096,1.2372203331504066,6.712684649329086,6.479731659095,1.8470367852884177,2752628.2512899395,0.24647486531207596,0.720421123719081,860.5977599165788,1.7902802953988455,5471558.3794563385,20.77681319880847,1.888655684703545,1.357682283201326,1.2531572296533373,8647042.555537159,1.9595682963401728,1.8484273419043495,1.657960035175104,3.027483936251852,967094.8346979686,0.130029531042934,0.9422605546822346,562.1836726078033,3.5278610586433845,16731452.164151749,0.6881622879906132,0.02165268440750608,5.655292057224412,1.3497369063725984,608064.6281822773,0.6406903670307046,2.3016621515454414,1.206064718314622,2.239545637994828,564755.6351736259,0.7245620678527795,0.4563403607373297,1.1692677616909335,3.2181887799764235,5514437.747027732,1.2683710187142898,4.586534148393093,2.86669923826318,3.8655877046012757,58014.387652314894,1.304394048187799,4.231473566688208,2.064797372159141,3.61752820261531
