name,coef,mean,median,std_dev,variance,min,max,count
\Pi_{0},\lambda_{1}*W_{1},4864105.210794387,1801426.285690797,8161183.030619842,66604908459277.266,162.535928526001,98647434.29464766,1000
\Pi_{1},\frac{\chi_{1}}{\lambda_{1}},13.066556851459135,1.030654554352554,152.6771961997225,23310.326239408554,6.06273092464879e-05,3467.2351604100345,1000
\Pi_{2},\frac{\mu_{1}}{\lambda_{1}},6.758760591181206,1.0131935410716781,37.65696670698292,1418.0471415708203,0.0032606626659094817,834.4990524575754,1000
\Pi_{3},\frac{c_{1}}{K_{1}},6.366793737638635,1.9366230708288024,24.268472499666007,588.9587574670452,1.0001081133692904,580.5962851714722,1000
\Pi_{4},\frac{L_{1}}{K_{1}},7.391979617287241,1.911930535666087,65.00659762632444,4225.8577349508505,1.0025902550085128,1977.643999543176,1000
\Pi_{5},\lambda_{2}*W_{2},4800028.4104809705,1936568.9730445356,7736291.153472788,59850200811301.32,587.5764979123225,71594973.48678334,1000
\Pi_{6},\frac{\chi_{2}}{\lambda_{2}},9.166621183854677,1.066430023747774,103.75020955931251,10764.105983601261,0.0020104454286687377,3118.9793507962945,1000
\Pi_{7},\frac{\mu_{2}}{\lambda_{2}},9.803869253243313,0.9509667314368698,69.19361761797458,4787.756719062483,6.0922580863317146e-05,1509.1748805591153,1000
\Pi_{8},\frac{c_{2}}{K_{2}},7.338602024098372,2.043741314086316,32.669597972060984,1067.3026316560913,1.0003274132433089,769.2796576093882,1000
\Pi_{9},\frac{L_{2}}{K_{2}},600.3772901361567,1.9632984551212571,18710.839090422043,350095499.46766555,1.0017686822969827,591991.857596738,1000
\Pi_{10},\lambda_{3}*W_{3},4605285.218972887,2118634.512819565,7255203.2287798645,52637973890897.766,63.0101644235513,64598385.884219915,1000
\Pi_{11},\frac{\chi_{3}}{\lambda_{3}},5.711582439156393,0.9931999417177033,30.187422322619415,911.2804664841809,0.001278269683836788,597.3491159095556,1000
\Pi_{12},\frac{\mu_{3}}{\lambda_{3}},295.71903864329136,0.9753733013157522,9208.402715081393,84794680.56311835,0.0009640042294802697,291344.8930329907,1000
\Pi_{13},\frac{c_{3}}{K_{3}},10.64852001210228,1.9687176860515192,115.04768805808436,13235.970527510286,1.0006740997000751,3310.626611733868,1000
\Pi_{14},\frac{L_{3}}{K_{3}},7.213576438160358,1.9845557308362336,29.686549990639787,881.2912503467552,1.0022956743602305,668.7554485045749,1000
\Pi_{15},\lambda_{4}*W_{4},4954024.800840214,2059211.812253986,7520366.848298222,56555917532982.93,110.41683307505427,72462562.73754676,1000
\Pi_{16},\frac{\chi_{4}}{\lambda_{4}},5.588370297910286,1.0501127623338529,28.424796341558668,807.969047059087,0.00036767220391798437,639.513492005773,1000
\Pi_{17},\frac{\mu_{4}}{\lambda_{4}},5.599793113758164,0.9402705298598422,69.1315307874822,4779.168549020601,0.0013642099110155272,2173.0242622743813,1000
\Pi_{18},\frac{c_{4}}{K_{4}},10.671705156647144,1.9201084196562501,159.35804424417196,25394.986265327472,1.0006738641966455,4986.726947118292,1000
\Pi_{19},\frac{L_{4}}{K_{4}},10.565635837472952,2.042119071216257,98.5839623727481,9718.797637111415,1.0004112534221328,2973.7619667004383,1000
\Pi_{20},\lambda_{5}*W_{5},4715393.458364097,1775464.8980913647,8269425.246076043,68383393900439.82,1137.122252383198,108909602.994279,1000
\Pi_{21},\frac{\chi_{5}}{\lambda_{5}},11.453048678239757,0.9978387155077952,121.94000096172385,14869.363834545213,0.000228240483209191,3360.2614562902913,1000
\Pi_{22},\frac{\mu_{5}}{\lambda_{5}},5.136636478889033,1.0298768696869178,25.234069775236108,636.7582774214844,0.0010005671031640278,622.7432475059264,1000
\Pi_{23},\frac{c_{5}}{K_{5}},13.794952855859863,2.0457809247227847,134.82387339622701,18177.47683756185,1.00015899157639,3108.6468874808493,1000
\Pi_{24},\frac{L_{5}}{K_{5}},7.9425297847291825,1.9148513109811278,57.20261345870594,3272.138986506126,1.0006958133808785,1222.7502444070067,1000
\Pi_{25},\lambda_{6}*W_{6},4467417.823312264,1835677.1140293393,7907177.678089517,62523458832877.13,390.0630683168649,92021478.99043596,1000
\Pi_{26},\frac{\chi_{6}}{\lambda_{6}},8.04779985372018,1.0234956781609474,68.57751928925803,4702.876151868558,0.0005545888956708763,1945.4466580396559,1000
\Pi_{27},\frac{\mu_{6}}{\lambda_{6}},9.459593195076017,1.1480935374677266,81.92430556624727,6711.591842511853,0.0002442228133212704,2386.3282875626996,1000
\Pi_{28},\frac{c_{6}}{K_{6}},9.336726768995078,2.193171346658743,45.9599750771312,2112.3193090905206,1.0006111373129412,948.5919822765316,1000
\Pi_{29},\frac{L_{6}}{K_{6}},6.199862712699003,1.9980096429394432,19.72260055584484,388.98097268541113,1.0015358153214695,390.4241456311586,1000
\Pi_{30},\lambda_{7}*W_{7},4945211.415268704,1784078.9186172613,8143598.536582297,66318197125025.33,2328.985341801292,79640650.7923335,1000
\Pi_{31},\frac{\chi_{7}}{\lambda_{7}},8.898785547902095,1.0934189594038548,62.91565421395265,3958.3795451696574,0.0002443682666885436,1273.3367308499644,1000
\Pi_{32},\frac{\mu_{7}}{\lambda_{7}},5.950661072952009,0.9600649466042772,26.744206151740954,715.2525626868187,0.0029976909951913476,458.7013985909385,1000
\Pi_{33},\frac{c_{7}}{K_{7}},8.429375899191369,2.008629867558981,65.79155593124331,4328.528831853917,1.0030335676342124,1896.3047328241778,1000
\Pi_{34},\frac{L_{7}}{K_{7}},10.092919352490208,1.9892610054728168,46.18593693601262,2133.1407706573345,1.0019780165239023,641.5802040292331,1000
\Pi_{35},\lambda_{8}*W_{8},4392652.973983693,1855439.1746438188,6596393.521078097,43512407484921.086,102.68150976810595,53860921.874077715,1000
