node,type,lambda,miu,rho,L,Lq,W,Wq,L_littles,Lq_littles,Jobs_Served,Jobs_Blocked,Blocking_Prob
0,M/M/1/1000.0,344.776,898.6051553427832,0.38367908079548163,0.6223369260557344,0.2386578452602461,0.0018050471206108732,0.0006922113060661013,0.6223369260557344,0.23865784526024614,344776,0,0.0
1,M/M/1/1000.0,258.965,700.7083947153047,0.3695759918863488,0.5857002333955921,0.21612287439670855,0.0022616947179040668,0.0008345608087421072,0.5856997726220265,0.21612203983589975,258965,0,0.0
2,M/M/1/1000.0,172.905,700.5182419115805,0.2468244074960493,0.3288731153640254,0.08204819480767117,0.001902030893699091,0.0004745248563246571,0.3288706516750413,0.08204772028281483,172905,0,0.0
3,M/M/1/1000.0,97.133,180.40183350263385,0.5384257915459704,1.1671948382114614,0.628769046665492,0.012016460298883744,0.006473279386670772,1.1671948382114747,0.628769046665492,97133,0,0.0
4,M/M/1/1000.0,92.042,528.7052339158809,0.17408944359844233,0.2105353506720721,0.036445907073632086,0.0022873834844100746,0.0003959703947505713,0.2105353506720721,0.036445907073632086,92042,0,0.0
5,M/M/1/1000.0,103.889,150.54179680742547,0.6901007042774693,2.211813260782524,1.5217105730193548,0.021290145590791888,0.014647324795642867,2.211811935281778,1.5216959256945417,103889,0,0.0
6,M/M/1/1000.0,64.205,706.0913230383698,0.09093016427920476,0.10010380015175208,0.00917363587254677,0.0015591277961490863,0.0001428803967377427,0.10010380015175209,0.009173635872546769,64205,0,0.0
7,M/M/1/1000.0,59.691,410.5430588687622,0.14539522398570462,0.17064604531301972,0.02525082132731254,0.0028588236972578733,0.00042302560398238494,0.17064604531301972,0.02525082132731254,59691,0,0.0
8,M/M/1/1000.0,69.369,1590.8208335864258,0.043605790504774235,0.04559406841928888,0.001988277914517912,0.0006572686418903095,2.8662340736033563e-05,0.045594068419288876,0.0019882779145179125,69369,0,0.0
9,M/M/1/1000.0,256.403,701.714945759856,0.36539481102593957,0.5762882188468251,0.21089340782087526,0.0022475876602334023,0.0008225075674655728,0.5762882188468251,0.2108934078208753,256403,0,0.0
10,M/M/1/1000.0,178.036,550.2660210039885,0.3235453275402399,0.47819344353549015,0.15464811599525974,0.00268593679668994,0.000868633961644048,0.47819344353549015,0.15464811599525974,178036,0,0.0
11,M/M/1/1000.0,171.1,698.6155189681209,0.24491296765454132,0.3244932856920141,0.07958031803746246,0.001896512482127493,0.0004651099826853446,0.324493285692014,0.07958031803746246,171100,0,0.0
12,M/M/1/1000.0,169.307,698.904525237502,0.2422462495037731,0.3201254445633651,0.077879195059585,0.0018907986353982123,0.000459988039830515,0.3201254445633651,0.077879195059585,169307,0,0.0
