node,lambda,mu,rho,L,Lq,W,Wq
1,345.0,900,0.38333333333333336,0.6213327222926492,0.23801558483078866,0.0018010405065830572,0.0006899293954719465
2,258.75,700,0.36964285714285716,0.586208621491557,0.21657686120153752,0.00226560858078865,0.0008370371522172214
3,174.22500000000002,700,0.24889285714285717,0.3313654829617478,0.08247279636379806,0.001901941225531473,0.0004733697969600447
4,58.80681818181818,180,0.32670454545454547,0.48518228215691095,0.15848078399802978,0.008250519628113543,0.002694964072557988
5,111.29032258064521,530,0.2099817407181985,0.26579314356848965,0.05581143049639864,0.0023882865320127332,0.0005014940791825446
6,112.5,880,0.1278409090909091,0.14657980292057324,0.018738893959670294,0.0013029315828412065,0.00016656794647756958
7,78.30337078651687,700,0.11186195826645266,0.12595109394576998,0.01408913570979542,0.0016085015589363926,0.00017993013036496488
8,72.59375000000001,410,0.17705792682926833,0.21515229816207532,0.03809437574483637,0.002963785498384665,0.0005247611081407634
9,38.716666666666676,210,0.1843650793650794,0.2260386352401691,0.04167356269786593,0.0058382774930302314,0.0010763727311254706
10,258.75000000000006,700,0.3696428571428572,0.5862086214915571,0.21657686120153763,0.00226560858078865,0.0008370371522172216
11,172.50000000000003,250,0.6900000000000002,2.036952709381412,1.352274951207936,0.011900212531018488,0.007900212531018488
12,174.22500000000002,700,0.24889285714285717,0.3313654829617478,0.08247279636379806,0.001901941225531473,0.0004733697969600447
13,170.77500000000003,700,0.24396428571428577,0.322686833064078,0.07872268511234598,0.0018895448120628956,0.0004609733834914672
