\Pi_{0}=\lambda_{1}*W_{1},\Pi_{1}=\frac{\chi_{1}}{\lambda_{1}},\Pi_{2}=\frac{\mu_{1}}{\lambda_{1}},\Pi_{3}=\frac{c_{1}}{K_{1}},\Pi_{4}=\frac{L_{1}}{K_{1}},\Pi_{5}=\lambda_{2}*W_{2},\Pi_{6}=\frac{\chi_{2}}{\lambda_{2}},\Pi_{7}=\frac{\mu_{2}}{\lambda_{2}},\Pi_{8}=\frac{c_{2}}{K_{2}},\Pi_{9}=\frac{L_{2}}{K_{2}},\Pi_{10}=\lambda_{3}*W_{3},\Pi_{11}=\frac{\chi_{3}}{\lambda_{3}},\Pi_{12}=\frac{\mu_{3}}{\lambda_{3}},\Pi_{13}=\frac{c_{3}}{K_{3}},\Pi_{14}=\frac{L_{3}}{K_{3}},\Pi_{15}=\lambda_{4}*W_{4},\Pi_{16}=\frac{\chi_{4}}{\lambda_{4}},\Pi_{17}=\frac{\mu_{4}}{\lambda_{4}},\Pi_{18}=\frac{c_{4}}{K_{4}},\Pi_{19}=\frac{L_{4}}{K_{4}},\Pi_{20}=\lambda_{5}*W_{5},\Pi_{21}=\frac{\chi_{5}}{\lambda_{5}},\Pi_{22}=\frac{\mu_{5}}{\lambda_{5}},\Pi_{23}=\frac{c_{5}}{K_{5}},\Pi_{24}=\frac{L_{5}}{K_{5}},\Pi_{25}=\lambda_{6}*W_{6},\Pi_{26}=\frac{\chi_{6}}{\lambda_{6}},\Pi_{27}=\frac{\mu_{6}}{\lambda_{6}},\Pi_{28}=\frac{c_{6}}{K_{6}},\Pi_{29}=\frac{L_{6}}{K_{6}},\Pi_{30}=\lambda_{7}*W_{7},\Pi_{31}=\frac{\chi_{7}}{\lambda_{7}},\Pi_{32}=\frac{\mu_{7}}{\lambda_{7}},\Pi_{33}=\frac{c_{7}}{K_{7}},\Pi_{34}=\frac{L_{7}}{K_{7}},\Pi_{35}=\lambda_{8}*W_{8},\Pi_{36}=\frac{\chi_{8}}{\lambda_{8}},\Pi_{37}=\frac{\mu_{8}}{\lambda_{8}},\Pi_{38}=\frac{c_{8}}{K_{8}},\Pi_{39}=\frac{L_{8}}{K_{8}},\Pi_{40}=\lambda_{9}*W_{9},\Pi_{41}=\frac{\chi_{9}}{\lambda_{9}},\Pi_{42}=\frac{\mu_{9}}{\lambda_{9}},\Pi_{43}=\frac{c_{9}}{K_{9}},\Pi_{44}=\frac{L_{9}}{K_{9}},\Pi_{45}=\lambda_{10}*W_{10},\Pi_{46}=\frac{\chi_{10}}{\lambda_{10}},\Pi_{47}=\frac{\mu_{10}}{\lambda_{10}},\Pi_{48}=\frac{c_{10}}{K_{10}},\Pi_{49}=\frac{L_{10}}{K_{10}},\Pi_{50}=\lambda_{11}*W_{11},\Pi_{51}=\frac{\chi_{11}}{\lambda_{11}},\Pi_{52}=\frac{\mu_{11}}{\lambda_{11}},\Pi_{53}=\frac{c_{11}}{K_{11}},\Pi_{54}=\frac{L_{11}}{K_{11}},\Pi_{55}=\lambda_{12}*W_{12},\Pi_{56}=\frac{\chi_{12}}{\lambda_{12}},\Pi_{57}=\frac{\mu_{12}}{\lambda_{12}},\Pi_{58}=\frac{c_{12}}{K_{12}},\Pi_{59}=\frac{L_{12}}{K_{12}},\Pi_{60}=\lambda_{13}*W_{13},\Pi_{61}=\frac{\chi_{13}}{\lambda_{13}},\Pi_{62}=\frac{\mu_{13}}{\lambda_{13}},\Pi_{63}=\frac{c_{13}}{K_{13}},\Pi_{64}=\frac{L_{13}}{K_{13}}
1.5276827559735368e-07,40.284577251978156,1.5266462718900766,2217728.5232518963,26560314.161080524,3.007863009669247e-08,0.046802305212765336,11.905246902302522,2247577.6376983207,7490994.277070455,2.807093696671511e-08,0.07684935610673417,1.8101279542123299,5830147.071608798,21100652.45319351,1.0151187953007311e-07,0.1980524171734182,6.473275792880632,8526397.421783866,18571810.596583817,1.0832272968672983e-08,1.0797983583685078,47.04496207096679,7778756.553718046,2985858.2159910877,1.1515275779776427e-07,1.4248220551594355,21.380705663755954,5872437.812013135,3083731.468326704,3.6982808013846705e-08,3.021804370951149,3.707349372168141,39774779.979390465,8713308.875674473,6.377344836372274e-07,0.07766003379031727,86.34011467842774,2638193.7543908637,2302537.427828562,2.192126903589558e-07,27.792498763470107,1.4007816441250174,4241661.935071855,2960944.5799229615,9.580779067323617e-09,1.417524698254318,1.0696283593914178,16010444.019224973,2471100.3392685456,7.935416133252011e-08,0.7904089032824169,1.2951818312285177,3030088.1071796874,5777612.999883302,1.2512904555065325e-06,74.41246060791903,0.5351935263578828,4106466.0271824603,2611736.4659590926,4.080142058147296e-07,2.2649842032792873,10.826634389188607,2330808.9968525073,14841958.474251984
2.2152833179321896e-09,1.353619535178514,0.07555159284593126,6467718.285409504,18115126.94012856,1.7030837028793943e-06,14.043438663534333,3.353904828843851,7420812.640415579,4718813.808931103,4.0561250722526056e-07,0.4850336789770508,0.4369035355323591,35342942.381677926,3378876.6601723037,3.987212090772698e-07,0.6475527946560636,0.4878030364651353,4551667.176145324,7049847.257857205,4.616288382908382e-09,0.36838418727935923,1.7614338788380404,2211246.542345729,2259143.9592860956,2.498669377849758e-07,1.263952809791068,0.9886618507182744,4871155.768850504,63203614.63285348,8.362049243306837e-08,0.5462502862542161,0.11984513474655815,4099978.3595580095,65689943.2027946,1.315580534743321e-07,0.876113348473955,0.29177157691860905,2369463.3566778195,2336931.005625923,4.088038124970034e-08,17.2674520474875,0.4816171166510639,3422061.5887619667,3160866.298086794,3.3693545264162e-07,0.20004228357806822,1.1834420666296457,3227907.185496073,16435819.46499048,8.38816238797589e-07,1.1242621094166492,0.30293883797943305,4537193.931973098,3644589.610200412,6.424883184613969e-07,7.190763374441705,2.2023529020269215,6974879.214740988,4980635.274191984,9.677152787231542e-08,29.07345750631881,1.9202126397666466,9611915.867276149,3091110.647850253
1.8266235904563975e-07,6.682949643393923,1.7959208214184998,5019496.3168345345,4655293.725999828,4.932306739454185e-08,0.7899060361238902,0.14419668351772566,3276081.967710299,11300130.173206963,6.25948638587501e-08,0.6475627258317721,0.7552002999672888,5598920.045643651,2652787.130529182,3.807556580417378e-07,4.493055487575227,2.715989246035783,2773625.3174778577,5463307.216665146,4.786533949858288e-07,0.9226093122717164,62.7637871185993,4703112.947330363,10048299.845071215,1.714762869235089e-07,184.61395058233805,0.3715723495434853,2288118.9747041645,3328573.147568081,1.2481922244493736e-06,1.9147683549453942,0.7790232997112875,2921945.348027121,28959918.71069982,7.891544389232162e-07,1.379592601391691,2.333426075500989,2420196.0814956785,2382044.7635753104,1.1809202995223091e-07,2.257714647414579,0.07108534877840193,2660743.5560902962,3299988.485241714,5.841464694495885e-07,0.06794772006854541,0.3691971064783784,2715052.51581014,2364051.3029459417,2.807762730378074e-07,1.987672283542671,7.9893628459516135,3726280.7216193215,2828681.2580208275,1.0861665599406153e-06,3.5028991647930097,0.3711788424734858,3828706.451053696,3424820.100017437,2.8443502012126004e-08,3.6240503447942625,0.9575129201386405,6069224.064736681,162344145.2879264
2.2876413818728896e-07,3.5895843138057346,0.7015467260065159,157163245.61953813,18578566.217205755,2.294547336594749e-08,0.803315306168083,0.2619009257830488,5318902.135576807,10924818.441267036,1.5828918348795903e-07,0.7790595053429422,7.702582245991696,9978525.247102803,3889496.8708832357,2.5190427289650873e-07,2.258779953791075,1.5701263560743874,4389558.774648689,3456717.6769688027,1.2131133942050607e-07,85.62617396071914,0.11657371671216912,7600447.405266303,12076746.365094157,7.681127245819273e-10,6.837540952802585,1.4585259517352982,3259712.9993190425,20819326.68761624,2.7684439090625934e-08,1.5844368055458269,0.6310632805190846,2652050.0114256004,5392693.075566906,2.849770609927472e-07,0.8302610971748376,3.9132277963209434,2971295.452141933,6609927.188817937,9.257313463261402e-07,0.6612718073880814,1.3658026821285314,7239463.941874209,3121153.8904619827,6.846396813164537e-07,1.4585818027831954,0.009500115895818215,3376511.226876241,6153639.584541486,4.881718258790097e-07,2.7890403971291358,4.374306096633214,11914718.171574607,2907797.023122644,1.3700612720371282e-08,2.500313791447964,1.2246532136869723,7536000.82488039,2248550.591072962,2.87206556815532e-07,0.5280570007783754,0.051388253603706614,6648940.453358925,5331780.745907751
1.2207939774287307e-07,2.167235129801517,6.57615223643746,12107707.495139703,3493065.137531709,7.210005305300865e-07,0.13352612440789688,3.5587392714496686,4008192.7232863884,2270117.1291824556,1.4275122292404848e-07,1.5412727191209095,5.0804490707693715,3388407.251110122,5478466.126409617,8.000611597552851e-08,0.17657477162529617,62.45431289516742,2534430.9340015464,3606551.4300841913,3.900583221350549e-07,0.25368935964307754,0.042511850955676014,7971219.038803012,4392108.002473688,5.1155760029285504e-08,0.662141572051511,14.363154124513787,7721770.555111727,14967685.86776031,3.358371798883262e-08,2.172821284215399,1.3646498385318362,4319067.471300305,4581465.008661248,6.576694310625563e-07,0.2688666263308338,0.9365808073699857,3049150.8291392163,5904572.312096216,8.664147384086126e-08,1.2753148556279714,23.116554031463476,5021126.077125214,22213140.38789544,4.1926990076636615e-08,0.10406029247599104,0.8356736220243693,3114584.6136422916,2252041.3890834306,2.8119300989744903e-09,2.655286188715224,11.853302560217134,3379924.848146789,5443910.297203508,8.951740274790399e-07,0.12529238809802595,2.9454236488008396,2566441.780601642,2371726.833471046,6.565208932350469e-07,8.544915513103259,0.11579621824793844,2453753.7107034274,7449027.132575028
3.382678929741305e-08,3.2194939734797927,7.7540806851501,5862181.128525286,3735826.1950013833,1.0011128903300157e-06,0.7506609088654002,2.1518117354026414,4921863.785346235,3784288.4882753687,4.419730321505264e-08,6.294150226286729,4.753760567251965,6522083.95705291,4317183.823292887,8.89101557236857e-08,7.039831854549078,17.775030504065427,4768024.96479825,2651649.519207347,3.00064678630273e-07,0.8683644951295808,0.0687014042542552,10312890.046459695,6844393.454778907,5.229659180372191e-07,0.07596377195618635,0.5865130886730053,6892803.54647097,3085712.4930423573,1.173179388615488e-06,1.0378014605759627,0.33537131507797546,3952983.5385094685,6915146.470945637,4.909451366559819e-07,2.8544840423502302,4.497365136507033,2234293.2114146953,18162660.58265929,5.14652799383987e-07,7.5141060115588,5.582160790568386,2911058.7960776403,2997065.1844855966,6.750419158928654e-08,0.17322408826088975,3.517290190536444,6573180.159329192,2378269.6550564314,3.5072429978038674e-07,7.052355217712589,1.9448700909010377,2636726.0114270747,3532749.9130076976,3.3174090209207504e-07,0.42384047028975463,0.27723337355164435,2401833.230541954,3058765.638891684,1.4486737046807884e-07,0.5726578708254427,1.7646343730971932,2254762.427554533,85306466.70882165
3.480980489547164e-08,9.609144076775577,2.088607873507116,9451409.88548959,4452419.077009874,9.079816311586703e-07,0.5121775394835206,2.2919628923106212,3024258.4934064355,18640342.350589033,1.741537477161357e-07,0.023714533137700042,0.43937815106597655,2475327.9494959307,2463742.2954721483,5.978886592021389e-07,6.938990140209962,14.742997017447895,5380518.529280612,3972086.7573969564,8.845794262606184e-08,0.31428296920670207,1.3613911920270532,2354371.5843290533,7223671.584684992,5.777592339065665e-07,3.710721216203549,16.499037440523264,5605850.084304927,3321840.303054502,3.209308871168941e-07,0.8021662634775796,68.72963428319322,3090870.363055117,3113629.705901136,5.157815307401471e-08,2.6261913009327382,0.21366961173562032,3759328.467006928,2209964.832490962,1.461142304814722e-07,6.172929226594518,0.9480961837364243,4939022.794894363,13048094.365874698,4.083357235175729e-07,2.393292248844486,0.4814734473256215,6624143.602362874,3468586.515723564,8.040137035477553e-07,4.70232721901074,0.24021731267243374,5878276.120796662,6717545.896553476,1.5496424276577672e-07,1.4225879985161272,1.0491670713012535,6913255.017437578,6572309.892796858,6.382887132608127e-07,0.3877288949504107,0.2551144418233374,11246625.68566025,4142074.2614578023
5.029043097548915e-08,0.3097608991383447,0.7946303264251927,22751185.31268145,9461154.996314982,3.0281617552381275e-07,0.533448217504064,2.673172424952134,3674765.906575328,3113145.343480813,9.504884473423203e-07,7.880029058136291,243.04896979267733,15889694.69790406,2430207.3482318767,2.682597126757697e-07,1.7703966575939853,1.8689789620614188,3473260.363615367,2610859.819982598,3.9323959246149684e-07,1.615227919880814,0.3274013286062461,250476054.668226,4375058.059248447,3.1358861430815635e-07,0.06818076270093336,0.3538240889394869,2338213.0038965847,8591960.435037725,3.0110738070131946e-07,1.1636005688241737,5.0163265447742305,11590621.870150385,14158298.61710511,2.6276814352256004e-07,0.3510851443090607,0.4884379509766575,2254211.2614442874,18229970.900165085,1.5140299420525332e-06,3.947662909125025,1.43270436765075,9592954.40204292,9689486.458085233,3.094305797259579e-07,13.130940464634275,4.4873175262290035,4341995.649503252,6055951.125164721,4.259389141215644e-08,0.7541089293717339,1.9362374810451353,22417603.52782202,8237915.535110405,1.1189582855788263e-07,5.647899315812418,0.09511099715863501,4565731.533213888,15364674.243301956,1.0567775804719477e-06,1.6482746715620378,1.3289651562214713,9196992.081750322,2853943.2757793833
2.965357809098511e-08,1.3732669687604029,0.04498377025458242,2696542.0751903234,8015554.585919441,9.029199431016784e-08,4.259044771282697,0.6002652764894247,14384220.547090635,3133499.01614356,4.175123891214135e-08,0.7282258179745159,0.426772212306036,29602049.505821534,3761381.121665404,4.576689058929617e-08,1.066470155655009,1.5491254294732322,5426356.7397808125,4264572.773041713,1.8812172733255937e-08,0.07899241265207484,0.6265961006147767,6511791.855044684,2397951.848124548,2.7695382396165502e-08,0.7282048934257506,0.9908232416761423,808274512.7276986,2214773.6099955393,1.212645836448709e-07,0.801968418323817,0.10743689296245827,71442926.9901814,3568861.466387411,5.7843015459844445e-08,0.02882923922603756,0.7392251540476138,9019210.91693452,5021629.106899126,6.099915131613306e-08,0.20373304673764342,0.11925459651863038,3847796.904887795,18682362.817972038,1.4809921870573478e-07,11.423860280201078,3.6379866705545334,7838234.392392577,8706976.603014978,4.5886346684161357e-07,0.009636571876649961,0.48194566541781814,2607228.5465087,13205167.906553136,3.934319979202169e-08,0.15230887840731297,1.970093014207877,12404104.923548754,13688064.268965228,2.478051840462494e-07,0.07393531230582155,0.41342386211721466,23579918.307578344,2603236.3953728676
1.304149940804354e-08,0.6349124734538101,1.474129259900434,22921910.23170189,3218006.0939822546,3.3639247999841976e-07,0.038456030693004545,3.540111865896513,7617855.294939379,19484671.72656218,4.809383296616821e-07,2.3237408720346155,9.65971896184947,2748427.6711726147,15430903.527987711,6.904631583116584e-07,0.5727033545064906,5.018751256291823,2919302.2914496134,4871575.237784037,1.6406204783314528e-07,3.0370178039445355,1.60156240389562,3325758.866164743,2858896.4355400135,4.2185520284806745e-07,0.33772493023297295,25.76271413304374,74564115.80609997,4585957.438574889,8.609410363505293e-10,0.6481338951893888,0.2752612599403893,2210801.388525099,2909666.450093193,9.461802485700792e-07,0.6600355604368756,1.462881931392682,3895463.321575854,10142029.155989712,3.1368041028170473e-07,0.05948688520276212,0.06879091271120276,21044161.189051844,103470368.00869325,7.535131281223741e-09,1.5553763954565527,0.44753659459815853,13470606.218136445,12321945.405278591,5.7914023639377926e-08,12.666715833879667,0.524929827797712,2751189.943142325,5696030.292605929,2.2437965193540758e-07,4.403529743891569,4.7359740382108955,2211491.0802398343,3939934.5865526358,3.038850508149036e-08,0.7347457955353842,0.138426544596442,54904920.48634564,2199572.470149392
