name,coef,mean,median,std_dev,variance,min,max,count
\Pi_{0},\lambda_{1}*W_{1},3.3870424639954346e-07,1.7710227629617027e-07,4.4156878200165275e-07,1.9498298923842315e-13,2.3065859701240518e-11,3.851428242791448e-06,1000
\Pi_{1},\frac{\chi_{1}}{\lambda_{1}},12.156170697398158,1.0381408437255182,192.42316362649132,37026.67390002745,0.0008586806560863538,5989.6492444180885,1000
\Pi_{2},\frac{\mu_{1}}{\lambda_{1}},4.368665781966736,1.024855876464629,21.814039706500743,475.852328316791,0.0003340696125840064,604.6417433226669,1000
\Pi_{3},\frac{c_{1}}{K_{1}},15754593.242268436,4518469.948856556,92424374.16192318,8542264939223175.0,2199749.3408101974,2642759742.5827436,1000
\Pi_{4},\frac{L_{1}}{K_{1}},22702484.533054344,4225695.290303187,285169812.7677376,8.132182211398653e+16,2199847.130079345,8903123374.868208,1000
\Pi_{5},\lambda_{2}*W_{2},3.053273678289393e-07,1.5925938235642637e-07,4.065096470498519e-07,1.6525009314459515e-13,8.606408958550838e-11,4.812047581386383e-06,1000
\Pi_{6},\frac{\chi_{2}}{\lambda_{2}},5.3673220344664125,1.0968674811883101,22.150909743072965,490.6628024457649,0.0008944896887293854,382.79357315446794,1000
\Pi_{7},\frac{\mu_{2}}{\lambda_{2}},9.975071970676861,0.9568995584416593,102.47587736779802,10501.30544229998,0.0009759030622143157,2948.923015003732,1000
\Pi_{8},\frac{c_{2}}{K_{2}},27681218.09939939,4471844.805801741,234866896.38906533,5.5162459019431944e+16,2204609.166048674,5750413855.644129,1000
\Pi_{9},\frac{L_{2}}{K_{2}},20944128.816501755,4383669.885797942,132583786.29192002,1.757846038750152e+16,2199078.497712303,3269647596.907006,1000
\Pi_{10},\lambda_{3}*W_{3},3.5640501908415435e-07,1.9528318911455876e-07,4.4694301230170326e-07,1.997580562453205e-13,1.4678169300733752e-11,5.830168748746594e-06,1000
\Pi_{11},\frac{\chi_{3}}{\lambda_{3}},5.177177389511621,0.9206478517447205,22.55171883805715,508.5800225507817,0.00046906180549840723,389.4394159425553,1000
\Pi_{12},\frac{\mu_{3}}{\lambda_{3}},50.92927975207374,1.0178425280288033,1362.255259939603,1855739.3932331158,0.00015283133456580564,43071.88601492975,1000
\Pi_{13},\frac{c_{3}}{K_{3}},15047718.496170867,4433277.029088297,133383558.21062958,1.7791173600928412e+16,2198770.107452172,4146566272.203611,1000
\Pi_{14},\frac{L_{3}}{K_{3}},404724421.66589123,4649693.429264532,12202324553.534237,1.488967245097845e+20,2199073.869065436,386062904068.7616,1000
\Pi_{15},\lambda_{4}*W_{4},3.61204798750963e-07,1.9754421093058285e-07,4.6881198319139733e-07,2.1978467558385102e-13,9.454803506762294e-12,3.7642645036350327e-06,1000
\Pi_{16},\frac{\chi_{4}}{\lambda_{4}},7.184990803826533,0.9559673110300821,53.28431749617238,2839.218491032902,0.001183976395809016,1378.3676508892363,1000
\Pi_{17},\frac{\mu_{4}}{\lambda_{4}},8.795856081592618,1.0001572396590548,88.15940314606515,7772.08036307044,0.0004304863523016791,2495.9208597154047,1000
\Pi_{18},\frac{c_{4}}{K_{4}},14099960.865753207,4162924.1260888698,89836291.53062019,8070559275974581.0,2200160.1355036055,2658600315.8347344,1000
\Pi_{19},\frac{L_{4}}{K_{4}},17242146.45632104,4404389.8421070855,114610511.46881248,1.3135569339142798e+16,2198316.6327034314,3341801944.973102,1000
\Pi_{20},\lambda_{5}*W_{5},2.929478316507113e-07,1.6340965431356987e-07,3.66622484785761e-07,1.3441204635048558e-13,4.9758867611735674e-11,3.3584421481176164e-06,1000
\Pi_{21},\frac{\chi_{5}}{\lambda_{5}},5.962997740179495,1.0303037297364197,36.23347107213505,1312.864425935248,0.00022594582308058727,890.8907947112448,1000
\Pi_{22},\frac{\mu_{5}}{\lambda_{5}},7.985727661073966,0.9564286305404559,68.39622137884201,4678.043098903566,0.00030329252234970704,1949.117130395827,1000
\Pi_{23},\frac{c_{5}}{K_{5}},14203230.343484076,4396081.8803353915,54736654.859155566,2996101385170318.5,2201069.2534976252,1194416584.327536,1000
\Pi_{24},\frac{L_{5}}{K_{5}},18754659.15034797,4420145.121588515,175235999.9093049,3.07076556642139e+16,2199205.7402865016,5331898948.026349,1000
\Pi_{25},\lambda_{6}*W_{6},3.37498315527342e-07,1.7479589118215298e-07,4.4147600722646694e-07,1.949010649566235e-13,4.3205124565564654e-11,3.616852056671455e-06,1000
\Pi_{26},\frac{\chi_{6}}{\lambda_{6}},5.674330735611056,0.9555733059488858,24.059358679676546,578.8527400773271,0.0011067539780626801,373.660525390284,1000
\Pi_{27},\frac{\mu_{6}}{\lambda_{6}},6.663677152845587,0.9723953474025036,30.403953883181366,924.4004117306193,0.0004586043749561869,551.5556983873684,1000
\Pi_{28},\frac{c_{6}}{K_{6}},16910775.91479602,4434680.902523212,65071005.29752365,4234235730430350.5,2199250.605767543,900328331.2729583,1000
\Pi_{29},\frac{L_{6}}{K_{6}},26141239.95051138,4534234.5306994,254720201.54728138,6.488238107628765e+16,2198291.9622258646,7057207077.252322,1000
\Pi_{30},\lambda_{7}*W_{7},3.288209750049462e-07,1.7625532483364628e-07,4.365004734605532e-07,1.905326633312871e-13,5.012154050311524e-12,4.291793981081859e-06,1000
\Pi_{31},\frac{\chi_{7}}{\lambda_{7}},8.384184205016794,0.9661385577370807,103.05451397751555,10620.23285114195,0.0010509173804421096,3190.97868879017,1000
