node,type,lambda,miu,rho,L,Lq,W,Wq,L_littles,Lq_littles,Jobs_Served,Jobs_Blocked,Blocking_Prob
0,M/M/1/1000.0,345.361,901.5442940376911,0.3830771291926799,0.6226348168093645,0.23955768761668458,0.001802852136776777,0.0006936442957273247,0.6226348168093644,0.23955768761668456,345361,0,0.0
1,M/M/1/1000.0,259.296,700.5835221122692,0.37011432872160466,0.5909061131371155,0.22079121846211533,0.0022788804980390463,0.0008514993172389782,0.5909045976195325,0.22079036696279808,259296,0,0.0
2,M/M/1/1000.0,174.311,700.7341896881786,0.24875480969119984,0.33076811075045653,0.08201330105924459,0.0018975745119381823,0.00047049985978649995,0.33076811075045653,0.08201330105924459,174311,0,0.0
3,M/M/1/1000.0,58.496,180.00025858622104,0.3249773109185847,0.48057472392736716,0.15559741300878313,0.008215514290333821,0.0026599667158230156,0.4805747239273672,0.15559741300878313,58496,0,0.0
4,M/M/1/1000.0,111.225,530.6454210006967,0.2096032408802298,0.2633683778919461,0.053765137011716195,0.0023678883155041235,0.0004833907575789273,0.2633683778919461,0.05376513701171619,111225,0,0.0
5,M/M/1/1000.0,113.291,880.1487225600771,0.12871801900759675,0.14799070617537347,0.01927268716777599,0.0013062882857011896,0.00017011666564666205,0.14799070617537347,0.01927268716777599,113291,0,0.0
6,M/M/1/1000.0,78.068,697.6917533120217,0.1118946864849733,0.12604739020101585,0.014152703716042112,0.0016145845954938752,0.00018128687446895158,0.12604739020101585,0.014152703716042112,78068,0,0.0
7,M/M/1/1000.0,72.772,409.9381521595023,0.17751946145204178,0.2171027833017672,0.03958332184972336,0.0029833285233574337,0.0005439361546985567,0.2171027833017672,0.039583321849723366,72772,0,0.0
8,M/M/1/1000.0,38.819,212.41805724074482,0.1827481171057145,0.22370110197525062,0.04095221674943527,0.005762644344492044,0.001054925727703124,0.22370009080883668,0.040951161823707574,38819,0,0.0
9,M/M/1/1000.0,259.294,702.0299859368071,0.3693488956230144,0.5859172557319536,0.21657111201283705,0.0022596416164239576,0.0008352291222709295,0.5859115132890337,0.2165699000301184,259294,0,0.0
10,M/M/1/1000.0,172.726,249.58778212795704,0.6920450934230745,2.2420280896768525,1.5499829962537255,0.012980258268452798,0.008973651889430107,2.242028089676778,1.5499829962537046,172726,0,0.0
11,M/M/1/1000.0,174.31,701.4259138814657,0.24850806984792514,0.3301093694112275,0.08160129956331741,0.001893806261323088,0.00046813894534632216,0.3301093694112275,0.08160129956331742,174310,0,0.0
12,M/M/1/1000.0,171.047,701.8842188041507,0.2436968882010551,0.32237959041986264,0.07868270221880937,0.001884742733984593,0.0004600063270259599,0.32237959041986264,0.07868270221880937,171047,0,0.0
